"NSS 2023 results for students taught at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,First degree,CAH1,CAH04,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,209,285.5,,38.5,124.5,39,7,,1,78,77.5,0.5,2.8,2.2,14.2,62.8,23,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q10: How clear were the marking criteria used to assess your work?,210,285.5,,34,109,51,16,,0,68.1,73.9,-5.8,3,2.2,85.9,13.7,0.3,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q11: How fair has the marking and assessment been on your course?,210,285.5,,16,140.5,41,12.5,,0,74.5,76.5,-2,2.9,2.2,42.4,51.5,6.1,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,210,285.5,,15,126.5,59,9.5,,0,67.4,75.2,-7.8,3,2.2,96.1,3.8,0,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q13: How often have you received assessment feedback on time?,209,285.5,,76,96,27,10,,1,82.3,79.3,3,2.6,2.2,1.7,40.3,58,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q14: How often does feedback help you to improve your work?,209,285.5,,33,98,60.5,17.5,,1,62.7,65.1,-2.4,3.2,2.2,48.5,45,6.5,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,208,285.5,,64.5,105.5,33.5,4.5,,2,81.7,82,-0.2,2.6,2.2,19.4,65.6,14.9,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q16: How well have teaching staff supported your learning?,210,285.5,,37.5,133,34.5,5,,0,81.2,80.9,0.2,2.7,2.2,15.1,65,19.9,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q17: How well organised is your course?,209,285.5,,40,143,20,6,,1,87.6,77.9,9.7,2.5,2.2,0,0.2,99.8,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q18: How well were any changes to teaching on your course communicated?,199,285.5,,46.5,122,24.5,6,,11,84.7,76.3,8.3,2.7,2.1,0,1.6,98.4,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q19: How well have the IT resources and facilities supported your learning?,193,285.5,,46.5,119.5,21,6,,16,86,85.7,0.3,2.4,2.2,12.2,69.1,18.7,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",202,285.5,,68,108.5,20.5,5,,7,87.4,91,-3.6,2.1,2.2,70.2,29.6,0.2,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",203,285.5,,56,122.5,23.5,1,,6,87.9,87.8,0.1,2.3,2.2,12.2,72.8,15,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,207,285.5,,99.5,90,16.5,1,,2,91.5,83.2,8.4,2.4,2.2,0,0.7,99.3,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,208,285.5,,48.5,110,44.5,5,,1,76.2,75.9,0.3,2.9,2.2,17.2,60.5,22.3,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,207,285.5,,26,88.5,81.5,11,,2,55.3,59.6,-4.3,3.4,2.2,70,27.8,2.2,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,191.5,285.5,,20.5,108.5,51.5,11,,17.5,67.4,75.3,-7.9,3.2,2.2,95.5,4.4,0.1,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,206,285.5,,48,97.5,45,15.5,,3,70.6,75.4,-4.8,3,2.2,77.5,21.7,0.8,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",207.5,285.5,,51.5,126,27,3,,1.5,85.5,83.8,1.7,2.5,2.7,4.5,58,37.5,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 1: Teaching on my course,210,285.5,,,,,,,,86.5,84.2,2.3,2.4,2.2,2.2,50.9,46.9,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 2: Learning opportunities,210,285.5,,,,,,,,80.5,79.3,1.2,2.7,2.2,8.4,59.6,32.1,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 3: Assessment and feedback,210,285.5,,,,,,,,70.9,74,-3.1,3,2.2,58,38.9,3.1,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 4: Academic support,210,285.5,,,,,,,,81.3,81.4,-0.1,2.7,2.2,18.5,65.3,16.2,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 5: Organisation and management,210,285.5,,,,,,,,85.8,77.2,8.7,2.6,2.2,0,0.9,99.1,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 6: Learning resources,209,285.5,,,,,,,,87.1,88.1,-1,2.2,2.2,25.1,68.9,6,217,73.6
All modes,First degree,CAH1,CAH04,Psychology,Theme 7: Student voice,209,285.5,,,,,,,,74.2,72.9,1.3,3,2.2,10.2,54.7,35.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q01: How good are teaching staff at explaining things?,210,285.5,,44,157,8,1,,0,95.7,92.2,3.6,1.7,2.2,0,26.3,73.7,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q02: How often do teaching staff make the subject engaging?,210,285.5,,34,138.5,33.5,4,,0,82.1,78.1,4,2.7,2.2,0.8,27.9,71.3,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q03: How often is the course intellectually stimulating?,209,285.5,,69,116.5,20.5,3,,1,88.8,85.3,3.5,2.3,2.2,0.4,32.5,67.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q04: How often does your course challenge you to achieve your best work?,210,285.5,,58.5,109,35.5,7,,0,79.8,81.3,-1.5,2.6,2.2,35.1,58.3,6.5,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,210,285.5,,78.5,101.5,27,3,,0,85.7,80.8,4.9,2.5,2.2,0.2,17.3,82.5,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,210,285.5,,58,126.5,16.5,9,,0,87.9,84.8,3,2.3,2.2,0.7,39.9,59.4,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,209,285.5,,49.5,105,49,5.5,,1,73.9,79.7,-5.8,2.9,2.2,87.4,12.4,0.2,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q08: To what extent does your course have the right balance of directed and independent study?,210,285.5,,66,95.5,38.5,10,,0,76.9,73.5,3.4,2.9,2.2,2.1,35.8,62.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,209,285.5,,38.5,124.5,39,7,,1,78,77.5,0.5,2.8,2.2,14.2,62.8,23,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q10: How clear were the marking criteria used to assess your work?,210,285.5,,34,109,51,16,,0,68.1,73.9,-5.8,3,2.2,85.9,13.7,0.3,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q11: How fair has the marking and assessment been on your course?,210,285.5,,16,140.5,41,12.5,,0,74.5,76.5,-2,2.9,2.2,42.4,51.5,6.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q12: How well have assessments allowed you to demonstrate what you have learned?,210,285.5,,15,126.5,59,9.5,,0,67.4,75.2,-7.8,3,2.2,96.1,3.8,0,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q13: How often have you received assessment feedback on time?,209,285.5,,76,96,27,10,,1,82.3,79.3,3,2.6,2.2,1.7,40.3,58,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q14: How often does feedback help you to improve your work?,209,285.5,,33,98,60.5,17.5,,1,62.7,65.1,-2.4,3.2,2.2,48.5,45,6.5,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q15: How easy was it to contact teaching staff when you needed to?,208,285.5,,64.5,105.5,33.5,4.5,,2,81.7,82,-0.2,2.6,2.2,19.4,65.6,14.9,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q16: How well have teaching staff supported your learning?,210,285.5,,37.5,133,34.5,5,,0,81.2,80.9,0.2,2.7,2.2,15.1,65,19.9,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q17: How well organised is your course?,209,285.5,,40,143,20,6,,1,87.6,77.9,9.7,2.5,2.2,0,0.2,99.8,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q18: How well were any changes to teaching on your course communicated?,199,285.5,,46.5,122,24.5,6,,11,84.7,76.3,8.3,2.7,2.1,0,1.6,98.4,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q19: How well have the IT resources and facilities supported your learning?,193,285.5,,46.5,119.5,21,6,,16,86,85.7,0.3,2.4,2.2,12.2,69.1,18.7,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",202,285.5,,68,108.5,20.5,5,,7,87.4,91,-3.6,2.1,2.2,70.2,29.6,0.2,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",203,285.5,,56,122.5,23.5,1,,6,87.9,87.8,0.1,2.3,2.2,12.2,72.8,15,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q22: To what extent do you get the right opportunities to give feedback on your course?,207,285.5,,99.5,90,16.5,1,,2,91.5,83.2,8.4,2.4,2.2,0,0.7,99.3,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q23: To what extent are students' opinions about the course valued by staff?,208,285.5,,48.5,110,44.5,5,,1,76.2,75.9,0.3,2.9,2.2,17.2,60.5,22.3,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q24: How clear is it that students' feedback on the course is acted on?,207,285.5,,26,88.5,81.5,11,,2,55.3,59.6,-4.3,3.4,2.2,70,27.8,2.2,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q25: How well does the students' union (association or guild) represent students' academic interests?,191.5,285.5,,20.5,108.5,51.5,11,,17.5,67.4,75.3,-7.9,3.2,2.2,95.5,4.4,0.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Q26: How well communicated was information about your university/college's mental wellbeing support services?,206,285.5,,48,97.5,45,15.5,,3,70.6,75.4,-4.8,3,2.2,77.5,21.7,0.8,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",207.5,285.5,,51.5,126,27,3,,1.5,85.5,83.8,1.7,2.5,2.7,4.5,58,37.5,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 1: Teaching on my course,210,285.5,,,,,,,,86.5,84.2,2.3,2.4,2.2,2.2,50.9,46.9,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 2: Learning opportunities,210,285.5,,,,,,,,80.5,79.3,1.2,2.7,2.2,8.4,59.6,32.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 3: Assessment and feedback,210,285.5,,,,,,,,70.9,74,-3.1,3,2.2,58,38.9,3.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 4: Academic support,210,285.5,,,,,,,,81.3,81.4,-0.1,2.7,2.2,18.5,65.3,16.2,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 5: Organisation and management,210,285.5,,,,,,,,85.8,77.2,8.7,2.6,2.2,0,0.9,99.1,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 6: Learning resources,209,285.5,,,,,,,,87.1,88.1,-1,2.2,2.2,25.1,68.9,6,217,73.6
All modes,First degree,CAH2,CAH04-01,Psychology,Theme 7: Student voice,209,285.5,,,,,,,,74.2,72.9,1.3,3,2.2,10.2,54.7,35.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q01: How good are teaching staff at explaining things?,210,285.5,,44,157,8,1,,0,95.7,92.2,3.6,1.7,2.2,0,26.3,73.7,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q02: How often do teaching staff make the subject engaging?,210,285.5,,34,138.5,33.5,4,,0,82.1,78.1,4,2.7,2.2,0.8,27.9,71.3,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q03: How often is the course intellectually stimulating?,209,285.5,,69,116.5,20.5,3,,1,88.8,85.3,3.5,2.3,2.2,0.4,32.5,67.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q04: How often does your course challenge you to achieve your best work?,210,285.5,,58.5,109,35.5,7,,0,79.8,81.3,-1.5,2.6,2.2,35.1,58.3,6.5,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q05: To what extent have you had the chance to explore ideas and concepts in depth?,210,285.5,,78.5,101.5,27,3,,0,85.7,80.8,4.9,2.5,2.2,0.2,17.3,82.5,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,210,285.5,,58,126.5,16.5,9,,0,87.9,84.8,3,2.3,2.2,0.7,39.9,59.4,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q07: To what extent have you had the chance to bring together information and ideas from different topics?,209,285.5,,49.5,105,49,5.5,,1,73.9,79.7,-5.8,2.9,2.2,87.4,12.4,0.2,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q08: To what extent does your course have the right balance of directed and independent study?,210,285.5,,66,95.5,38.5,10,,0,76.9,73.5,3.4,2.9,2.2,2.1,35.8,62.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,209,285.5,,38.5,124.5,39,7,,1,78,77.5,0.5,2.8,2.2,14.2,62.8,23,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q10: How clear were the marking criteria used to assess your work?,210,285.5,,34,109,51,16,,0,68.1,73.9,-5.8,3,2.2,85.9,13.7,0.3,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q11: How fair has the marking and assessment been on your course?,210,285.5,,16,140.5,41,12.5,,0,74.5,76.5,-2,2.9,2.2,42.4,51.5,6.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q12: How well have assessments allowed you to demonstrate what you have learned?,210,285.5,,15,126.5,59,9.5,,0,67.4,75.2,-7.8,3,2.2,96.1,3.8,0,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q13: How often have you received assessment feedback on time?,209,285.5,,76,96,27,10,,1,82.3,79.3,3,2.6,2.2,1.7,40.3,58,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q14: How often does feedback help you to improve your work?,209,285.5,,33,98,60.5,17.5,,1,62.7,65.1,-2.4,3.2,2.2,48.5,45,6.5,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q15: How easy was it to contact teaching staff when you needed to?,208,285.5,,64.5,105.5,33.5,4.5,,2,81.7,82,-0.2,2.6,2.2,19.4,65.6,14.9,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q16: How well have teaching staff supported your learning?,210,285.5,,37.5,133,34.5,5,,0,81.2,80.9,0.2,2.7,2.2,15.1,65,19.9,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q17: How well organised is your course?,209,285.5,,40,143,20,6,,1,87.6,77.9,9.7,2.5,2.2,0,0.2,99.8,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q18: How well were any changes to teaching on your course communicated?,199,285.5,,46.5,122,24.5,6,,11,84.7,76.3,8.3,2.7,2.1,0,1.6,98.4,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q19: How well have the IT resources and facilities supported your learning?,193,285.5,,46.5,119.5,21,6,,16,86,85.7,0.3,2.4,2.2,12.2,69.1,18.7,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",202,285.5,,68,108.5,20.5,5,,7,87.4,91,-3.6,2.1,2.2,70.2,29.6,0.2,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",203,285.5,,56,122.5,23.5,1,,6,87.9,87.8,0.1,2.3,2.2,12.2,72.8,15,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q22: To what extent do you get the right opportunities to give feedback on your course?,207,285.5,,99.5,90,16.5,1,,2,91.5,83.2,8.4,2.4,2.2,0,0.7,99.3,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q23: To what extent are students' opinions about the course valued by staff?,208,285.5,,48.5,110,44.5,5,,1,76.2,75.9,0.3,2.9,2.2,17.2,60.5,22.3,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q24: How clear is it that students' feedback on the course is acted on?,207,285.5,,26,88.5,81.5,11,,2,55.3,59.6,-4.3,3.4,2.2,70,27.8,2.2,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q25: How well does the students' union (association or guild) represent students' academic interests?,191.5,285.5,,20.5,108.5,51.5,11,,17.5,67.4,75.3,-7.9,3.2,2.2,95.5,4.4,0.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Q26: How well communicated was information about your university/college's mental wellbeing support services?,206,285.5,,48,97.5,45,15.5,,3,70.6,75.4,-4.8,3,2.2,77.5,21.7,0.8,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",207.5,285.5,,51.5,126,27,3,,1.5,85.5,83.8,1.7,2.5,2.7,4.5,58,37.5,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 1: Teaching on my course,210,285.5,,,,,,,,86.5,84.2,2.3,2.4,2.2,2.2,50.9,46.9,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 2: Learning opportunities,210,285.5,,,,,,,,80.5,79.3,1.2,2.7,2.2,8.4,59.6,32.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 3: Assessment and feedback,210,285.5,,,,,,,,70.9,74,-3.1,3,2.2,58,38.9,3.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 4: Academic support,210,285.5,,,,,,,,81.3,81.4,-0.1,2.7,2.2,18.5,65.3,16.2,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 5: Organisation and management,210,285.5,,,,,,,,85.8,77.2,8.7,2.6,2.2,0,0.9,99.1,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 6: Learning resources,209,285.5,,,,,,,,87.1,88.1,-1,2.2,2.2,25.1,68.9,6,217,73.6
All modes,First degree,CAH3,CAH04-01-01,Psychology (non-specific),Theme 7: Student voice,209,285.5,,,,,,,,74.2,72.9,1.3,3,2.2,10.2,54.7,35.1,217,73.6
All modes,First degree,CAH1,CAH07,Physical sciences,Q01: How good are teaching staff at explaining things?,39,51.5,,12,27,0,0,,0,100,90.7,9.3,3.4,3.1,0,2.2,97.8,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q02: How often do teaching staff make the subject engaging?,39,51.5,,7.5,25,5.5,1,,0,83.3,74.2,9.1,6,3,2.7,10.9,86.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q03: How often is the course intellectually stimulating?,39,51.5,,21.5,14.5,2,1,,0,92.3,91.1,1.2,4.4,3.1,20.4,41.4,38.2,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q04: How often does your course challenge you to achieve your best work?,39,51.5,,19.5,16.5,3,0,,0,92.3,86.6,5.7,4.8,3,4.4,20.7,74.9,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,39,51.5,,18.5,17.5,3,0,,0,92.3,82.6,9.7,5.2,3.1,1,7.5,91.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,39,51.5,,16,17,5,1,,0,84.6,85.1,-0.5,5.3,3,35.3,36.4,28.3,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,39,51.5,,23,11,5,0,,0,87.2,81.5,5.7,5.6,3.1,7.3,21.3,71.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q08: To what extent does your course have the right balance of directed and independent study?,39,51.5,,9,20,7,3,,0,74.4,73.6,0.8,6.6,3.1,30.8,29.5,39.7,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,38.5,51.5,,15.5,17,6,0,,0.5,84.4,79,5.4,5.8,3,8.8,22.1,69.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q10: How clear were the marking criteria used to assess your work?,38,51.5,,11,18,8,1,,1,76.3,72.4,3.9,6.8,2.9,17.2,24.5,58.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q11: How fair has the marking and assessment been on your course?,39,51.5,,13.5,20,4.5,1,,0,85.9,82.8,3.1,5.7,3.1,16.5,29.6,53.9,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q12: How well have assessments allowed you to demonstrate what you have learned?,39,51.5,,5,27,6,1,,0,82.1,76.1,6,6.2,3.1,8.4,20.2,71.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q13: How often have you received assessment feedback on time?,39,51.5,,12,21.5,4.5,1,,0,85.9,72.9,13,6,3.1,0.5,3.5,96,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q14: How often does feedback help you to improve your work?,39,51.5,,6.5,22.5,9,1,,0,74.4,63.5,10.9,6.9,3.1,2.6,8.6,88.7,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q15: How easy was it to contact teaching staff when you needed to?,39,51.5,,20.5,18.5,0,0,,0,100,88,12,4,3.1,0,0.8,99.2,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q16: How well have teaching staff supported your learning?,39,51.5,,12.5,21.5,4,1,,0,87.2,81.3,5.9,5.4,3.1,5.9,20.5,73.6,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q17: How well organised is your course?,39,51.5,,17,20,2,0,,0,94.9,75.4,19.4,5.7,3,0,0.1,99.9,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q18: How well were any changes to teaching on your course communicated?,35,51.5,,14,17,4,0,,4,88.6,75.7,12.9,6.2,2.8,0.7,4,95.3,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q19: How well have the IT resources and facilities supported your learning?,38,51.5,,17,17,4,0,,1,89.5,84.1,5.4,5,3.2,5.8,22.6,71.6,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",39,51.5,,11.5,18.5,9,0,,0,76.9,87.4,-10.4,5.6,3.2,92.2,6.8,1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",38,51.5,,16.5,16.5,5,0,,0,86.8,87.8,-1,5.3,3,38.5,35.8,25.7,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q22: To what extent do you get the right opportunities to give feedback on your course?,38,51.5,,15.5,18.5,4,0,,0,89.5,83.9,5.6,5.4,3,6.7,21.7,71.6,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q23: To what extent are students' opinions about the course valued by staff?,36,51.5,,13,15.5,7.5,0,,2,79.2,71.8,7.4,6.9,2.9,7.5,16.4,76.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q24: How clear is it that students' feedback on the course is acted on?,36,51.5,,3.5,22,10.5,0,,2,70.8,54.8,16,7.7,2.9,0.8,3.1,96.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q25: How well does the students' union (association or guild) represent students' academic interests?,34.5,51.5,,5.5,16.5,9.5,3,,3.5,63.8,67.3,-3.5,7.8,2.9,55.1,22.8,22.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Q26: How well communicated was information about your university/college's mental wellbeing support services?,37,51.5,,8.5,20.5,5,3,,1,78.4,73.1,5.3,6.7,3.1,12.3,21.6,66.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",37,51.5,,16.5,17.5,3,0,,1,91.9,85.4,6.5,5.1,3.9,4,18,78.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 1: Teaching on my course,39,51.5,,,,,,,,92,85.7,6.3,4.9,3,3.7,18.2,78.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 2: Learning opportunities,39,51.5,,,,,,,,84.6,80.2,4.4,5.8,3,11.8,25.4,62.8,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 3: Assessment and feedback,39,51.5,,,,,,,,81,73.5,7.5,6.5,3,6,15.8,78.3,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 4: Academic support,39,51.5,,,,,,,,93.6,84.6,9,4.8,3,0.8,7.9,91.2,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 5: Organisation and management,39,51.5,,,,,,,,92.3,75.3,17,5.7,3,0,0.6,99.4,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 6: Learning resources,39,51.5,,,,,,,,84.6,86.4,-1.8,5.4,3.1,44.9,34.1,21.1,41,75.7
All modes,First degree,CAH1,CAH07,Physical sciences,Theme 7: Student voice,38,51.5,,,,,,,,80.7,70.4,10.3,6.7,3,2.8,9.4,87.8,41,75.7
All modes,First degree,CAH2,CAH07-01,Physics and astronomy,Q01: How good are teaching staff at explaining things?,30,39.5,,9,21,0,0,,0,100,90.2,9.8,4.1,3.6,0.1,3.6,96.3,32,75.9
All modes,First degree,CAH2,CAH07-01,Physics and astronomy,Q02: How often do teaching staff make the subject engaging?,30,39.5,,5.5,19,4.5,1,,0,81.7,72.2,9.5,7.1,3.6,4.6,11.7,83.7,32,75.9
