module_code,academic_year,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning
MTH2011,2023/4,Linear Algebra,15,230.0,38.0,112.0,0.0,20,80,0.0,6.0,5,No
MTH2100,2023/4,Employability and Career Resources,0,240.0,15.0,30.0,0.0,0,0,,,5,No
MTH3001,2023/4,Theory of Weather and Climate,15,61.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3004,2023/4,Number Theory,15,100.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3006,2023/4,Mathematical Biology and Ecology,15,90.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3007,2023/4,Fluid Dynamics,15,152.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3008,2023/4,Partial Differential Equations,15,88.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3011,2023/4,Nonlinear Systems and Control,15,11.0,33.0,117.0,0.0,20,80,0.0,2.0,6,No
MTH3013,2023/4,Applied Differential Geometry,15,25.0,33.0,117.0,,20,80,,3.0,6,No
MTH3019,2023/4,Mathematics: History and Culture,15,67.0,20.0,130.0,0.0,40,50,10.0,4.0,6,No
MTH3022,2023/4,"Graphs, Networks and Algorithms",15,76.0,33.0,117.0,0.0,0,60,40.0,3.0,6,No
MTH3024,2023/4,Stochastic Processes,15,100.0,33.0,117.0,,20,80,,2.0,6,No
MTH3025,2023/4,Semester of Mathematical Studies Abroad,60,5.0,,,,100,0,,,6,No
MTH3026,2023/4,Cryptography,15,116.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3028,2023/4,Statistical Inference: Theory and Practice,15,80.0,33.0,117.0,,20,80,,2.0,6,No
MTH3030,2023/4,Mathematics of Climate Change,15,170.0,33.0,117.0,,20,80,,3.0,6,No
MTH3035,2023/4,Mathematics Group Project,15,138.0,22.0,128.0,0.0,75,0,25.0,6.0,6,No
MTH3038,2023/4,Galois Theory,15,30.0,33.0,117.0,0.0,20,80,0.0,3.0,6,No
MTH3039,2023/4,Computational Nonlinear Dynamics,15,19.0,33.0,117.0,0.0,100,0,0.0,2.0,6,No
MTH3040,2023/4,Topology and Metric Spaces,15,24.0,33.0,127.0,0.0,20,80,0.0,3.0,6,No
MTH3041,2023/4,"Bayesian statistics, Philosophy and Practice",15,25.0,33.0,117.0,0.0,20,80,,2.0,6,No
MTH3042,2023/4,Integral Equations,15,150.0,33.0,117.0,,20,80,0.0,3.0,6,No
MTH3045,2023/4,Statistical Computing,15,45.0,31.0,119.0,,0,50,50.0,2.0,6,No
MTH3047,2023/4,Mathematics for Environment and Sustainability,15,30.0,42.0,108.0,0.0,100,0,0.0,3.0,6,No
MTH3100,2023/4,Industrial Placement,120,6.0,6.0,314.0,880.0,85,0,15.0,4.0,3,No
MTHM002,2023/4,Methods for Stochastics and Finance,15,58.0,33.0,117.0,,0,100,,3.0,7,No
MTHM003,2023/4,Analysis and Computation for Finance,15,49.0,39.0,114.0,,50,50,,4.0,7,No
MTHM004,2023/4,Fractal Geometry,15,20.0,33.0,127.0,0.0,0,100,0.0,1.0,7,No
MTHM005,2023/4,Mathematical Sciences Project,30,34.0,22.0,278.0,,90,0,10.0,2.0,7,No
MTHM006,2023/4,Mathematical Theory of Option Pricing,15,48.0,22.0,128.0,,20,80,0.0,3.0,7,No
MTHM007,2023/4,Engaging with Research,15,20.0,44.0,106.0,0.0,100,0,0.0,4.0,7,No
MTHM008,2023/4,Computational Modelling,15,20.0,33.0,117.0,0.0,100,0,0.0,3.0,7,No
MTHM009,2023/4,Advanced Topics in Mathematical & Computational Biology,15,10.0,33.0,117.0,0.0,100,0,0.0,1.0,7,No
MTHM010,2023/4,Representation Theory of Finite Groups,15,,33.0,117.0,,20,80,,3.0,7,No
MTHM014,2023/4,Metric Number Theory and Diophantine Approximation,15,25.0,33.0,117.0,0.0,20,80,0.0,3.0,7,No
MTHM015,2023/4,AI and Data Science Methods for Life and Health Sciences,15,20.0,50.0,100.0,0.0,100,0,0.0,2.0,7,No
MTHM017,2023/4,Advanced Topics in Statistics,15,100.0,30.0,120.0,0.0,100,0,0.0,1.0,7,No
MTHM018,2023/4,Dynamical Systems and Chaos,15,33.0,33.0,117.0,0.0,20,80,0.0,3.0,7,No
MTHM019,2023/4,Fluid Dynamics of Atmospheres and Oceans,15,23.0,33.0,117.0,0.0,20,80,0.0,3.0,7,No
MTHM021,2023/4,Advanced Mathematics Project,60,25.0,22.0,578.0,0.0,100,0,0.0,2.0,7,No
MTHM023,2023/4,Modelling the Weather and Climate,15.0,5.0,33.0,117.0,0.0,50.0,50.0,0.0,3.0,7.0,No
MTHM028,2023/4,Algebraic Number Theory,15.0,15.0,33.0,117.0,0.0,20.0,80.0,0.0,4.0,7.0,No
MTHM029,2023/4,Algebraic Curves,15.0,11.0,50.0,100.0,0.0,20.0,80.0,0.0,3.0,7.0,No
MTHM030,2023/4,"Waves, Instabilities and Turbulence",15.0,13.0,33.0,117.0,0.0,40.0,60.0,0.0,3.0,7.0,No
MTHM031,2023/4,Magnetic Fields and Fluid Flows,15.0,21.0,33.0,117.0,0.0,20.0,80.0,0.0,2.0,7.0,No
MTHM032,2023/4,"Mathematics, Business and Finance Project",30.0,4.0,22.0,278.0,,100.0,0.0,0.0,2.0,7.0,No
MTHM033,2023/4,Statistical Modelling in Space and Time,15.0,20.0,33.0,115.0,0.0,20.0,80.0,0.0,2.0,7.0,No
MTHM036,2023/4,Research in Mathematical Sciences,15.0,42.0,19.0,131.0,0.0,85.0,0.0,15.0,3.0,7.0,No
MTHM040,2023/4,MSci Project,45.0,3.0,25.0,425.0,0.0,80.0,0.0,20.0,4.0,7.0,No
MTHM041,2023/4,Analytic Number Theory,15.0,30.0,33.0,117.0,0.0,0.0,100.0,0.0,1.0,7.0,No
MTHM044,2023/4,MMATH Project in Statistics,45.0,20.0,25.0,425.0,0.0,90.0,0.0,10.0,3.0,7.0,No
MTHM045,2023/4,Space Weather and Plasmas,15.0,10.0,33.0,117.0,0.0,20.0,80.0,0.0,2.0,7.0,No
MTHM047,2023/4,"Bayesian Statistics, Philosophy and Practice",15.0,28.0,33.0,117.0,0.0,20.0,80.0,0.0,2.0,7.0,No
MTHM048,2023/4,Ergodic Theory,15.0,20.0,33.0,117.0,0.0,20.0,80.0,,3.0,7.0,No
MTHM050,2023/4,Research Project in Statistics,60.0,,20.0,580.0,0.0,85.0,0.0,15.0,3.0,7.0,No
MTHM051,2023/4,Fundamentals of Weather and Climate Science,15.0,,33.0,117.0,,20.0,80.0,,2.0,7.0,No
MTHM052,2023/4,Mid-Latitude Weather Systems,15.0,20.0,33.0,117.0,0.0,20.0,80.0,0.0,3.0,7.0,No
MTHM053,2023/4,MSc Professional Placement,60.0,20.0,20.0,80.0,500.0,80.0,0.0,20.0,3.0,7.0,No
MTHM054,2023/4,Climate Change Science and Solutions,15.0,60.0,20.0,130.0,0.0,100.0,0.0,0.0,3.0,7.0,No
MTHM501,2023/4,Working with Data,15.0,50.0,30.0,120.0,0.0,100.0,0.0,0.0,1.0,7.0,No
MTHM502,2023/4,Introduction to Data Science and Statistical Modelling,15.0,50.0,30.0,120.0,0.0,100.0,0.0,0.0,1.0,7.0,No
MTHM503,2023/4,Applications of Data Science and Statistics,15.0,15.0,36.0,114.0,0.0,80.0,20.0,0.0,2.0,7.0,No
MTHM504,2023/4,Applied Data Science and Statistics Project,60.0,50.0,20.0,580.0,0.0,100.0,0.0,0.0,3.0,7.0,No
MTHM505,2023/4,Data Science and Statistical Modelling in Space and Time,15.0,50.0,30.0,118.0,,100.0,0.0,,2.0,,No
MTHM506,2023/4,Statistical Data Modelling,15.0,50.0,30.0,120.0,,100.0,0.0,,2.0,7.0,No
MTHM507,2023/4,Communicating Data Science,15.0,60.0,40.0,110.0,0.0,100.0,0.0,0.0,2.0,7.0,No
MTHM508,2023/4,Bayesian Philosophy and Methods in Data Science,15.0,28.0,33.0,117.0,,50.0,50.0,,3.0,,No
MTHM611,2023/4,Topics in Environmental Intelligence,15.0,30.0,30.0,120.0,0.0,80.0,0.0,20.0,2.0,7.0,No
MTHM612,2023/4,Environmental Intelligence Research Project,60.0,30.0,20.0,580.0,0.0,70.0,0.0,30.0,3.0,7.0,No
HIH3217,2023/4,,,,,,,,,,,,
POLM894DA,2023/4,,,,,,,,,,,,
BEE3052,2023/4,,,,,,,,,,,,
BEEM155,2023/4,,,,,,,,,,,,
EASM142,2023/4,,,,,,,,,,,,
PHY1021,2023/4,Vector Mechanics,15.0,149.0,34.0,116.0,0.0,10.0,90.0,,4.0,4.0,No
PHY1022,2023/4,Introduction to Astrophysics,15.0,150.0,34.0,116.0,0.0,10.0,90.0,,4.0,4.0,No
PHY1023,2023/4,Waves and Optics,15.0,150.0,34.0,116.0,,10.0,90.0,,4.0,4.0,No
PHY1024,2023/4,Properties of Matter,15.0,,34.0,116.0,,10.0,90.0,,4.0,4.0,No
PHY1025,2023/4,Mathematics Skills,15.0,149.0,36.0,114.0,0.0,10.0,90.0,0.0,3.0,4.0,No
PHY1026,2023/4,Mathematics for Physicists,15.0,,36.0,114.0,,10.0,90.0,,4.0,4.0,No
PHY1027,2023/4,Practical Physics I,15.0,142.0,93.0,57.0,,50.0,0.0,50.0,3.0,4.0,No
PHY1028,2023/4,IT and Electronics Skills,15.0,114.0,58.0,92.0,,70.0,0.0,30.0,5.0,4.0,No
PHY1029,2023/4,IT and Astrophysics Skills,15.0,26.0,58.0,92.0,,70.0,0.0,30.0,4.0,4.0,No
PHY1030,2023/4,Practical Physics and IT Skills,15.0,14.0,89.0,61.0,,40.0,0.0,60.0,,4.0,No
PHY1031,2023/4,Scientific Programming in Python,15.0,120.0,62.0,88.0,0.0,100.0,0.0,0.0,2.0,4.0,No
PHY2021,2023/4,Electromagnetism I,15.0,160.0,33.0,117.0,,10.0,90.0,,3.0,5.0,No
PHY2022,2023/4,Quantum Mechanics I,15.0,170.0,33.0,117.0,,10.0,90.0,,3.0,5.0,No
PHY2023,2023/4,Thermal Physics,15.0,162.0,33.0,117.0,,10.0,90.0,,3.0,5.0,No
PHY2024,2023/4,Condensed Matter I,15.0,146.0,33.0,117.0,,10.0,90.0,,3.0,5.0,No
PHY2025,2023/4,Mathematics with Physical Applications,15.0,146.0,36.0,114.0,,20.0,80.0,,4.0,5.0,No
PHY2026,2023/4,Practical Physics II,15.0,141.0,96.0,54.0,,76.0,0.0,24.0,4.0,5.0,No
PHY2027,2023/4,Scientific Programming in C,15.0,60.0,33.0,117.0,,70.0,0.0,30.0,3.0,5.0,No
PHY2029,2023/4,The Physics of Living Systems,15.0,64.0,22.0,128.0,,0.0,100.0,,1.0,5.0,No
PHY2030,2023/4,Observing the Universe,15.0,84.0,22.0,128.0,,0.0,100.0,,1.0,5.0,No
PHY2032,2023/4,Analytical and Chaotic Dynamics,15.0,33.0,22.0,128.0,,0.0,100.0,,1.0,5.0,No
PHY2033,2023/4,Physics Practicals (One-term/semester inbound exchange),15.0,1.0,85.0,65.0,,60.0,0.0,40.0,4.0,5.0,No
PHY2035,2023/4,Scientific Programming in Python,15.0,120.0,33.0,117.0,,70.0,0.0,30.0,5.0,5.0,No
PHY2036,2023/4,Study Abroad Electives,60.0,8.0,,,600.0,33.0,67.0,,2.0,5.0,No
PHY2037,2023/4,Nonlinear Optics and Imaging,15.0,33.0,22.0,128.0,,0.0,100.0,,1.0,5.0,No
PHY2222,2023/4,Physics of Climate Change,15.0,30.0,20.0,130.0,0.0,100.0,0.0,0.0,2.0,5.0,No
PHY3051,2023/4,Electromagnetism II,15.0,60.0,25.0,125.0,,0.0,100.0,,1.0,6.0,No
PHY3052,2023/4,Nuclear and High Energy Physics,15.0,118.0,25.0,125.0,0.0,0.0,100.0,0.0,1.0,6.0,No
PHY3053,2023/4,General Problems,15.0,101.0,17.0,133.0,,0.0,100.0,,1.0,6.0,No
PHY3054,2023/4,Electromagnetism II (IS),15.0,4.0,,150.0,,0.0,100.0,,1.0,6.0,No
PHY3055,2023/4,Electromagnetism and Quantum Mechanics,15.0,60.0,25.0,125.0,,0.0,100.0,,1.0,6.0,No
PHY3056,2023/4,Nuclear and High Energy Physics (IS),15.0,118.0,,150.0,,0.0,100.0,,1.0,6.0,No
PHY3061,2023/4,The Biophysics of Cells and Tissues,15.0,44.0,22.0,128.0,,0.0,100.0,,1.0,6.0,No
PHY3062,2023/4,Methods of Theoretical Physics,15.0,46.0,22.0,128.0,,0.0,100.0,,1.0,6.0,No
PHY3064,2023/4,Nanostructures and Graphene Science,15.0,12.0,13.0,136.0,,80.0,0.0,20.0,3.0,6.0,No
PHY3066,2023/4,Galaxies and High Energy Astrophysics,15.0,59.0,22.0,128.0,,0.0,100.0,,1.0,6.0,No
PHY3070,2023/4,Stars from Birth to Death,15.0,66.0,20.0,130.0,,40.0,60.0,,2.0,6.0,No
PHY3071,2023/4,Soft Matter,15.0,33.0,22.0,128.0,,0.0,100.0,,1.0,6.0,No
PHY3122,2023/4,Project and Dissertation,30.0,40.0,240.0,60.0,,40.0,0.0,60.0,3.0,6.0,No
PHY3138,2023/4,Projects and Dissertations,30.0,53.0,198.0,102.0,,30.0,0.0,70.0,6.0,6.0,No
PHY3147,2023/4,One-Semester Physics Project and Report,15.0,12.0,99.0,51.0,,60.0,0.0,40.0,3.0,6.0,No
PHY3150,2023/4,Applying Physics (Group Project),15.0,8.0,99.0,51.0,,50.0,0.0,50.0,4.0,6.0,No
PHY3218,2023/4,Study Abroad Physics Options,60.0,8.0,,,600.0,33.0,67.0,,2.0,6.0,No
PHY3220,2023/4,Fluid Dynamics in Physics and Astronomy,15.0,30.0,22.0,128.0,0.0,40.0,60.0,0.0,2.0,6.0,No
PHY3222,2023/4,"Energy, Materials and Sustainability",15.0,30.0,22.0,128.0,0.0,100.0,0.0,0.0,2.0,6.0,No
PHY3306,2023/4,Professional Experience,75.0,4.0,,,750.0,50.0,0.0,50.0,5.0,6.0,No
PHY3308,2023/4,Professional Placement,120.0,4.0,,,,50.0,0.0,50.0,5.0,6.0,No
PHYM001,2023/4,Statistical Physics,15.0,70.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM002,2023/4,Quantum Mechanics II,15.0,,25.0,125.0,,0.0,100.0,,1.0,7.0,No
PHYM003,2023/4,Condensed Matter II,15.0,76.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM004,2023/4,Computational Physics and Modelling,15.0,19.0,22.0,128.0,,90.0,0.0,10.0,3.0,7.0,No
