module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name,dept_code
ECM3165,Digital Signal Processing,15,1,,engineering,2019/0,Engineering,ECM
ECM3166,Communications Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECM3171,Computer Aided Engineering Drawing,15,1,,engineering,2019/0,Engineering,ECM
ECM3172,Study Abroad Semester,60,2 and 3,,engineering,2019/0,Engineering,ECM
ECM3173,Structural Dynamics,15,1,,engineering,2019/0,Engineering,ECM
ECM3174,Year in Industry,120,1,,engineering,2019/0,Engineering,ECM
ECM3175,Individual Project,30,"1, 2 and 3",,engineering,2019/0,Engineering,ECM
ENGM026,"Design, Innovation & Entrepreneurship",15,2,,engineering,2019/0,Engineering,ENG
ECMM102,Group Project (MEng),60,"1, 2 and 3",,engineering,2019/0,Engineering,ECM
ECMM103,Computer Aided Engineering Design,15,1,,engineering,2019/0,Engineering,ECM
ECMM107,Mechanics of Materials,15,1,,engineering,2019/0,Engineering,ECM
ECMM108,Advanced Structural Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM109,Advanced Geotechnical Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM110,Water and Environmental Systems,15,2,,engineering,2019/0,Engineering,ECM
ECMM112,Manufacturing Supply Chain Management,15,1,,engineering,2019/0,Engineering,ECM
ECMM113,"Agile, Lean and Competitive Enterprise",15,1,,engineering,2019/0,Engineering,ECM
ECMM124,Hydroinformatics Tools,15,1,,engineering,2019/0,Engineering,ECM
ECMM127,Advanced Materials Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECMM128,Management Concepts,15,2,,engineering,2019/0,Engineering,ECM
ECMM132,Urban Drainage and Waste Water Management,15,2,,engineering,2019/0,Engineering,ECM
ECMM133,Water Supply and Distribution Management,15,1,,engineering,2019/0,Engineering,ECM
ECMM134,Environmental Processes,15,1,,engineering,2019/0,Engineering,ECM
ECMM136,Systems Analysis in Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM140,Vibration Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM141,Multivariable State-Space Control,15,1,,engineering,2019/0,Engineering,ECM
ECMM142,Contemporary Advanced Materials Research,15,2,,engineering,2019/0,Engineering,ECM
ECMM144,Environmental and Computational Hydraulics,15,1,,engineering,2019/0,Engineering,ECM
ECMM145,Computational Hydrology,15,2,,engineering,2019/0,Engineering,ECM
ECMM146,Mathematical Modelling of Waste Water Treatment Processes,15,2,,engineering,2019/0,Engineering,ECM
ECMM147,Mechatronics: Sensors and Machine Automation,15,1,,engineering,2019/0,Engineering,ECM
ECMM148,Advanced CFD,15,1,,engineering,2019/0,Engineering,ECM
ECMM149,Linear Systems and Structural Analysis,15,1,,engineering,2019/0,Engineering,ECM
ECMM150,Structural Design,15,1,,engineering,2019/0,Engineering,ECM
ECMM151,Introduction to Earthquake Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM153,Conceptual Design of Buildings,15,1,,engineering,2019/0,Engineering,ECM
ECMM158,Active and Passive Structural Control,15,2,,engineering,2019/0,Engineering,ECM
ECMM159,Structural Health and Performance Monitoring,15,2,,engineering,2019/0,Engineering,ECM
ECMM160,Engineering Materials and the Environment,15,2,,engineering,2019/0,Engineering,ECM
ECMM162,Water Management in Developing Countries,15,2,,engineering,2019/0,Engineering,ECM
ECMM163,Sustainable Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECMM164,MSc Dissertation,60,2 and 3,,engineering,2019/0,Engineering,ECM
ECMM168,Project Management,15,1,,engineering,2019/0,Engineering,ECM
ECMM171,Programming for Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECMM172,Management Science,15,2,,engineering,2019/0,Engineering,ECM
ECMM178,Computational Techniques for Engineers,15,2,,engineering,2019/0,Engineering,ECM
ECMM179,Global Sourcing and Logistics Management,15,2,,engineering,2019/0,Engineering,ECM
EMP3001,Commercial and Industrial Experience,15,1,,engineering,2019/0,Engineering,EMP
EMP3003,Professional Experience,45,1 and 2,,engineering,2019/0,Engineering,EMP
EDU2016,Learning for Teaching: School Experience,15,1 and 2,Stage Two Modules,education,2019/0,Education,EDU
EDU2017,Learning for Teaching: School Experience,30,1 and 2,Stage Two Modules,education,2019/0,Education,EDU
EDU3013,Learning for Teaching: School Experience,15,1 and 2,Stage Three Modules,education,2019/0,Education,EDU
EDU3014,Learning for Teaching: School Experience,30,1 and 2,Stage Three Modules,education,2019/0,Education,EDU
EDUM030,Professional Learning (School Direct),,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM033,Primary Curriculum Studies,,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM034,Primary Professional Learning,,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM036,Secondary Education and Professional Studies,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM037,Secondary Biology Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM038,Secondary Biology with Psychology Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM039,Secondary Chemistry Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM042,Secondary English Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM043,Secondary French Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM044,Secondary German Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM047,Secondary Mathematics Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM048,Secondary Physics Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM049,Secondary Physical Education Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM051,Secondary Spanish Subject Knowledge and Pedagogy,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM052,Secondary Professional Learning,,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EDUM061,Primary Teaching and Learning,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EDU
EFPM266,Principles of Language Learning for TESOL,30,1,Masters Modules,education,2019/0,Education,EFP
EFPM268,Developing an Appropriate Language Teaching Methodology,15,1,Masters Modules,education,2019/0,Education,EFP
EFPM269,Developing Language Teachers,15,1,Masters Modules,education,2019/0,Education,EFP
EFPM270,SEN: Teaching and Learning,30,1,Masters Modules,education,2019/0,Education,EFP
EFPM278,SEN Organisational Contexts,30,1 and 2,Masters Modules,education,2019/0,Education,EFP
EFPM279,SEN Leading on Teaching and Learning,30,2 and 3,Masters Modules,education,2019/0,Education,EFP
EFPM280,Developing Practical Knowledge for TESOL Teaching,30,1 and 2,Masters Modules,education,2019/0,Education,EFP
EFPM285,Learning Outcomes Portfolio,,"1, 2 and 3",Masters Modules,education,2019/0,Education,EFP
EFPM288,Learning and Teaching in Higher Education,30,1 and 2,Masters Modules,education,2019/0,Education,EFP
EFPM292,Bilingual and Multilingual Perspectives on Language Learning and Teaching,15,2,Masters Modules,education,2019/0,Education,EFP
EFPM308,Preparing for Educational Research and Dissertation,60,"1, 2 and 3",Masters Modules,education,2019/0,Education,EFP
EFPM311,Principles and Practices of Curriculum Development and Syllabus Design,15,"1, 2 and 3",Masters Modules,education,2019/0,Education,EFP
EFPM313,Issues in English Language Teaching,15,2,Masters Modules,education,2019/0,Education,EFP
EFPM329,Preparing for TESOL Inquiry and Dissertation,60,,Masters Modules,education,2019/0,Education,EFP
EFPM787,Teaching English to Young Learners,15,1,Masters Modules,education,2019/0,Education,EFP
EFPM835,Foreign Language Testing and Assessment,15,2,Masters Modules,education,2019/0,Education,EFP
EFPM837,Teaching and Researching English for Academic Purposes,15,2,Masters Modules,education,2019/0,Education,EFP
EFPM900,The Contemporary Academic in Context,30,1 and 2,Masters Modules,education,2019/0,Education,EFP
EFPM902,Creating Effective Learning in Higher Education,30,"1, 2 and 3",Masters Modules,education,2019/0,Education,EFP
EFPM906,"Arts Education Theory, Practice and Potential",30,1,Masters Modules,education,2019/0,Education,EFP
EFPM907,"Creativity in Education: Valuing, Facilitating and Assessing It",30,2,Masters Modules,education,2019/0,Education,EFP
EFPM910,Education Policy,30,2,Masters Modules,education,2019/0,Education,EFP
EFPM911,Educational Leadership and Management,30,1,Masters Modules,education,2019/0,Education,EFP
EFPM912,Perspectives on International Education,30,1,Masters Modules,education,2019/0,Education,EFP
EFPM914,Education Studies,30,1,Masters Modules,education,2019/0,Education,EFP
ERPM000,The Nature of Educational Enquiry,30,2,Masters Modules,education,2019/0,Education,ERP
ERPM004,Dissertation,60,"1, 2 and 3",Masters Modules,education,2019/0,Education,ERP
ERPM005,Designing and Communicating Research,30,1,Masters Modules,education,2019/0,Education,ERP
PSY1105,Introduction to Behaviour and Evolution,15,1,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1126,Classic Studies in Psychology,15,2,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1202,Introduction to Biological Psychology,15,2,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1203,Introduction to Social Psychology,15,1,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1204,Introduction to Clinical Psychology,15,1,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1205,Introduction to Statistics,15,1 and 2,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1206,Introduction to Research Methods,15,1,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1207,"Cognition, Emotion and Development",15,2,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY1208,Workplace Learning,15,1 and 2,Stage One Modules,psychology,2019/0,Psychology,PSY
PSY2203,Social Psychology II,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2205,Personality and Individual Differences,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2206,Methods and Statistics in Psychology II,15,1 and 2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2209,Cognition Practical I,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2210,Social Practical I,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2212,Cognition Practical II,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2213,Social Practical II,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2214,Observations and Experiments in Animal Behaviour,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2216,Qualitative Methods and Interview Skills,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2217,Wild Behaviour,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2218,Social Practical III,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2303,Cognition and Emotion,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2304,Biological Basis of Behaviour,15,2,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY2306,Development Psychology and Psychopathology,15,1,Stage Two Modules,psychology,2019/0,Psychology,PSY
PSY3401,Psychology Research Project,45,1 and 2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3402,Methods and Statistics in Psychology III,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3403,Contemporary Issues in Psychology,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3404,One Year Study Abroad,120,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3410,Stereotypes and Stereotyping,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3411,Psychology and Law,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3412,The Psychology of Gender,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3416,Work and Organisational Psychology,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3417,The Associative Mind,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3418,Processes of Human Memory,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3419,Studying Cognition and Emotion with Brain Imaging,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3420,Brain Plasticity and Language Learning across the Lifespan,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3424,"Applied Social Psychology: Health, Environment and Society",15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3425,Cognitive Behavioural Approaches to Mood Disorders,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3426,Parental Psychiatric Disorders and Children's Development,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3427,Compulsive Behaviour,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3431,Comparative Approaches in the Study of Brain and Behaviour,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3432,The Moral Mind,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3434,"Mindfulness-based Interventions: Practice, Theoretical Backgrounds and Findings",15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3436,Neuropsychology of Ageing and Dementia,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3437,The Psychology of Addiction,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3438,Prosociality and Cooperation,15,1,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3439,Social Exclusion and Inclusion in Childhood and Adolescence,15,2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PSY3910,Professional Development Experience,5,1 and 2,Stage Three Modules,psychology,2019/0,Psychology,PSY
PYC3007,Core Skills for Working with Young People with Mental Health Problems and Their Families,60,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3008,Evidence-based CBT with Children and Young People,60,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3009,Evidence-based Parenting Interventions,60,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3010,Fundamental Principles 0-5s,20,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3011,Interventions to Enhance Attachment in Vulnerable Groups,20,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3012,Interventions for Existing Diagnosable Problems in Children Aged 1.5 to 5 Years,20,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3019,Engagement and Assessment of Patients with Common Mental Health Problems,20,1,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3020,Evidence-based Low Intensity Treatments for Common Mental Health Problems,20,1,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3021,"Values, Diversity and Context",20,2,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3022,Children and Young People's Mental Health Settings: Context and Values,20,2 and 3,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3023,Fundamental Skills: Assessment and Engagement,20,2 and 3,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3024,Evidence-based Interventions for Common Mental Health Problems with Children and Young People (Theory and Skills),20,"1, 2 and 3",Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3025,"Working, Assessing and Engaging in Education Settings",20,1 and 2,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3026,Common Problems and Processes in Education Settings,20,2 and 3,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3027,Interventions for Emerging Mental Health Difficulties in Education Settings,20,2,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3028,Autism-Learning Disability Core Knowledge and Skills,20,2,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3029,"Assessment, Engagement and Formulation with Young People and Families (Autism and Learning Disabilities)",20,2,Stage Three Modules,psychology,2019/0,Psychology,PYC
PYC3030,Mental Health Interventions with Young People and Families (Autism and Learning Disabilities),20,2 and 3,Stage Three Modules,psychology,2019/0,Psychology,PYC
PSYM201,Advanced Statistics,30,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM202,Behavioural Science Research Skills,15,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM204,Advances and Methods in Social and Organisational Psychology,30,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM205,Advances and Methods in Animal Behaviour,30,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM208,Animal Behaviour Research Skills,15,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PSY
PSYM210,Research Apprenticeship,90,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PSY
PSYM211,Current Research Issues in Social and Organisational Psychology,15,2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM212,Current Research Issues in Psychological Research Methods,15,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PSYM213,Current Research Issues in Animal Behaviour,15,1 and 2,Masters Modules,psychology,2019/0,Psychology,PSY
PYCM001,Psychological Therapies Research Project,60,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM002,Methodological Approaches in Psychological Therapies Research,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM003,Enhancing Practice: Broadening the Scope of Low Intensity CBT Interventions,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM014,Assessed Teaching Practice,15,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM015,Family Therapy and the Family of Therapies,15,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM026,Health Care Service Transformation Project,30,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM027,Core Skills for Working with Young People with Mental Health Problems and Their Families,60,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM028,Evidence-based CBT with Children and Young People,60,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM029,Evidence-based Parenting Interventions,60,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM030,Systemic Family Practice in CAMHS,30,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM031,Systemic Family Practice for Adolescent Eating Disorders,30,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM032,Systemic Family Practice for Adolescent Conduct Disorders,15,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM033,Systemic Family Practice for Adolescent Self-harm/Depression,15,3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM034,Fundamental Principles 0-5s,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM035,Interventions to Enhance Attachment in Vulnerable Groups,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM036,Interventions for Existing Diagnosable Problems in Children Aged 1.5 to 5 Years,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM037,The Fundamentals of Cognitive Behavioural Therapy,30,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM038,Cognitive Behavioural Therapy (CBT) for Depression,30,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM039,Cognitive Behavioural Therapy (CBT) for Anxiety Disorder,30,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM040,Cognitive Behavioural Therapy (CBT) - Clinical Practice,30,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM042,Clinical Supervision Practice Placement,30,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM043,Contemporary Issues in Global Leadership Theory and Practice,30,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM044,"Personal Leadership Identity, Resilience and Reflection",30,1 and 2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM045,Leading through Complexity,30,3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM046,Data Analytics for Leaders,30,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM047,Publication Project,60,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM051,Psychological Therapies Research Methods,15,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM052,Evidenced-Based Practice and Practice-Based Evidence in Family Therapy,15,1 and 2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM053,Key Concepts and Skills in Systemic/Family Therapy Practice,15,1 and 2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM054,Systemic Clinical Practice: Part 1,15,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM061,Psychodynamic Clinical Practice II,15,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM067,Engagement and Assessment of Patients with Common Mental Health Problems,20,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM068,Evidence-based Low Intensity Treatments for Common Mental Health Problems,20,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM069,"Values, Diversity and Context",20,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM070,Fundamentals of Professional Practice and Ethics,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM072,Evidence-based Psychological Interventions in Clinical Psychology Practice,20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM074,Clinical Practice,90,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM079,Children and Young People's Mental Health Settings: Context and Values,20,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM080,Fundamental Skills: Assessment and Engagement,20,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM081,Evidence-based Interventions for Common Mental Health Problems with Children and Young People (Theory and Skills),20,"1, 2 and 3",Masters Modules,psychology,2019/0,Psychology,PYC
PYCM082,"Working, Assessing and Engaging in Education Settings",20,1 and 2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM083,Common Problems and Processes in Education Settings,20,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM084,Interventions for Emerging Mental Health Difficulties in Education Settings,20,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM086,Autism-Learning Disability Core Knowledge and Skills,20,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM087,"Assessment, Engagement and Formulation with Young People and Families (Autism and Learning Disabilities)",20,2,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM088,Mental Health Interventions with Young People and Families (Autism and Learning Disabilities),20,2 and 3,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM089,Supervising Evidence-Based Psychological Therapies/Interventions in Child and Adolescent Mental Health,30,1,Masters Modules,psychology,2019/0,Psychology,PYC
PYCM090,Clinical Supervision Practice Placement (Wellbeing Practitioner for Children and Young People),30,2,Masters Modules,psychology,2019/0,Psychology,PYC
