dept_code,academic_year,faculty,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items
BEE,2024/5,ESE,58.0,33.476190476190474,61.92063492063492,4.603174603174603,187.17543859649123,30.92063492063492,0.18232804232804228,1.6349206349206349,2.492063492063492
BEM,2021/2,ESE,46.0,79.01639344262296,14.754098360655737,6.229508196721311,167.3793103448276,90.87978142076503,0.3764396259478227,1.3770491803278688,2.180327868852459
BEM,2022/3,ESE,52.0,80.83333333333333,13.666666666666666,5.5,184.82758620689654,43.46551724137931,0.20978631489624316,1.35,1.9666666666666666
BEM,2024/5,ESE,91.0,88.43839541547278,8.46704871060172,3.0945558739255015,116.61470588235294,45.604046242774565,0.21442248968008365,1.163323782234957,1.810888252148997
BEP,2021/2,ESE,44.0,84.6875,8.8125,6.5,40.5375,11.0625,0.09455555555555556,1.3125,1.9875
BEP,2022/3,ESE,40.0,84.5,8.785714285714286,6.714285714285714,44.72857142857143,12.957142857142857,0.10504201680672268,1.3285714285714285,2.0714285714285716
BEP,2024/5,ESE,45.0,86.15555555555555,8.066666666666666,5.777777777777778,44.83561643835616,14.013333333333334,0.10325161290322582,1.28,2.0405405405405403
BIO,2019/0,ESE,51.0,56.6865671641791,35.28358208955224,8.029850746268657,93.65671641791045,33.63681592039801,0.17960199004975125,1.7164179104477613,2.1940298507462686
BIO,2020/1,ESE,50.0,58.75757575757576,32.93939393939394,8.303030303030303,95.06060606060606,33.55555555555556,0.1783838383838384,1.7121212121212122,2.1818181818181817
BIO,2021/2,ESE,51.0,55.88333333333333,37.06666666666667,7.05,104.63333333333334,37.87777777777778,0.20266666666666666,1.8,2.316666666666667
BIO,2022/3,ESE,55.0,57.859154929577464,31.887323943661972,10.253521126760564,99.38028169014085,35.262910798122064,0.1796244131455399,1.8309859154929577,2.352112676056338
BIO,2023/4,ESE,56.0,58.72222222222222,30.61111111111111,10.666666666666666,95.63888888888889,35.68981481481482,0.18324074074074076,1.8055555555555556,2.3472222222222223
BIO,2024/5,ESE,53.0,70.54285714285714,21.12857142857143,8.32857142857143,98.44285714285714,35.82857142857143,0.18133333333333332,1.5714285714285714,2.2714285714285714
BUS,2021/2,ESE,6.0,100.0,0.0,0.0,57.05882352941177,6.105263157894737,0.014385964912280703,1.0,1.9714285714285715
BUS,2022/3,ESE,8.0,92.15686274509804,0.0,7.8431372549019605,46.4,5.894736842105263,0.012982456140350878,1.3137254901960784,2.2941176470588234
BUS,2024/5,ESE,9.0,89.83050847457628,0.0,10.169491525423728,42.06896551724138,5.1525423728813555,0.006889282401551564,1.4067796610169492,2.389830508474576
CLA,2019/0,HASS,47.0,44.53333333333333,49.86666666666667,5.6,27.16176470588235,50.85333333333333,0.19048888888888885,1.96,2.7066666666666666
CLA,2020/1,HASS,58.0,52.22222222222222,37.333333333333336,10.444444444444445,30.264367816091955,48.922222222222224,0.18666666666666668,1.8555555555555556,3.2555555555555555
CLA,2021/2,HASS,46.0,55.47945205479452,33.97260273972603,10.547945205479452,25.942857142857143,50.47945205479452,0.18896325579969964,1.7397260273972603,3.2465753424657535
CLA,2022/3,HASS,48.0,56.62162162162162,32.83783783783784,10.54054054054054,26.985915492957748,49.87837837837838,0.19782397782397784,1.635135135135135,3.0945945945945947
CLA,2023/4,HASS,53.0,54.5,36.375,9.125,26.592105263157894,49.164556962025316,0.1923206751054852,1.6875,3.05
CLA,2024/5,HASS,57.0,60.94117647058823,30.705882352941178,8.352941176470589,29.036585365853657,48.4,0.19849773755656108,1.6470588235294117,3.0352941176470587
CMM,2021/2,ESE,2.0,77.5,0.0,22.5,,33.0,0.11,2.0,2.5
CMM,2022/3,ESE,4.0,77.5,0.0,22.5,86.25,32.25,0.10749999999999998,1.75,2.75
CMM,2023/4,ESE,12.0,92.5,0.0,7.5,46.166666666666664,27.416666666666668,0.09138888888888888,1.25,2.0
CMM,2024/5,ESE,12.0,94.16666666666667,0.0,5.833333333333333,45.916666666666664,27.75,0.0925,1.1666666666666667,1.8333333333333333
DRA,2020/1,HASS,15.0,85.33333333333333,0.0,14.666666666666666,39.2,45.333333333333336,0.15118617614269786,1.1333333333333333,2.2
