dept_code,faculty,nss_subject,academic_year,nss_year,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items,subject_code,nss_academic_support,nss_assessment_feedback,nss_free_expression,nss_learning_opps,nss_learning_resources,nss_organisation,nss_student_voice,nss_teaching
BEE,ESE,Economics,2020/1,2021,53.0,28.879310344827587,65.60344827586206,5.517241379310345,188.58490566037736,29.74137931034483,0.1745894909688012,1.6206896551724137,2.7758620689655173,,,,,,,,,
BEE,ESE,Economics,2021/2,2022,55.0,30.5,64.33333333333333,5.166666666666667,191.1818181818182,29.683333333333334,0.1749920634920634,1.6333333333333333,2.7333333333333334,,,,,,,,,
BEE,ESE,Economics,2022/3,2023,55.0,30.33333333333333,64.58333333333333,5.083333333333333,193.0,29.766666666666666,0.1755476190476189,1.6166666666666667,2.716666666666667,CAH15-02,71.3550799086758,75.18319047619048,74.9,80.85061707379352,86.92246182538756,83.9590169649082,67.92510490348879,84.85
BEE,ESE,Economics,2023/4,2024,54.0,32.52542372881356,61.88135593220339,5.593220338983051,185.54545454545453,30.54237288135593,0.1799919289749797,1.6440677966101696,2.542372881355932,CAH15-02,70.81421637186342,72.90132223310479,80.3,81.9,90.14751418084752,87.68294645101818,66.03774259448417,85.99735423811858
BEE,ESE,Economics,2024/5,2025,58.0,33.476190476190474,61.92063492063492,4.603174603174603,187.17543859649123,30.92063492063492,0.1823280423280422,1.6349206349206349,2.492063492063492,CAH15-02,74.62570611778158,78.11292832764505,84.8,83.12654020336666,90.99171721885207,88.8404405701496,72.65309142993556,87.73543091655266
BEM,ESE,Business and management,2021/2,2022,46.0,79.01639344262296,14.754098360655735,6.229508196721311,167.3793103448276,90.87978142076504,0.3764396259478227,1.3770491803278688,2.180327868852459,,,,,,,,,
BEM,ESE,Business and management,2022/3,2023,52.0,80.83333333333333,13.666666666666666,5.5,184.8275862068965,43.46551724137931,0.2097863148962431,1.35,1.9666666666666663,CAH17-01,78.70144332316357,79.09947322212467,81.6,84.04806848112379,89.96287685080573,88.37491856677524,76.87293251384409,83.72949561403509
BEM,ESE,Business and management,2024/5,2025,91.0,88.43839541547278,8.46704871060172,3.094555873925501,116.61470588235294,45.604046242774565,0.2144224896800836,1.163323782234957,1.810888252148997,CAH17-01,78.86353021978023,81.7810003732736,84.8,81.72291180587962,87.76341247789847,86.48211464324085,74.12965360958239,84.4
BEP,ESE,Business and management,2021/2,2022,44.0,84.6875,8.8125,6.5,40.5375,11.0625,0.0945555555555555,1.3125,1.9875,,,,,,,,,
BEP,ESE,Business and management,2022/3,2023,40.0,84.5,8.785714285714286,6.714285714285714,44.72857142857143,12.957142857142856,0.1050420168067226,1.3285714285714283,2.071428571428572,CAH17-01,78.70144332316357,79.09947322212467,81.6,84.04806848112379,89.96287685080573,88.37491856677524,76.87293251384409,83.72949561403509
BEP,ESE,Business and management,2024/5,2025,45.0,86.15555555555555,8.066666666666666,5.777777777777778,44.83561643835616,14.013333333333334,0.1032516129032258,1.28,2.0405405405405403,CAH17-01,78.86353021978023,81.7810003732736,84.8,81.72291180587962,87.76341247789847,86.48211464324085,74.12965360958239,84.4
BIO,ESE,Biosciences,2019/0,2020,51.0,56.6865671641791,35.28358208955224,8.029850746268657,93.65671641791045,33.63681592039801,0.1796019900497512,1.7164179104477613,2.194029850746269,,,,,,,,,
BIO,ESE,Biosciences,2020/1,2021,50.0,58.75757575757576,32.93939393939394,8.303030303030303,95.06060606060606,33.55555555555556,0.1783838383838384,1.7121212121212122,2.1818181818181817,,,,,,,,,
BIO,ESE,Biosciences,2021/2,2022,51.0,55.88333333333333,37.06666666666667,7.05,104.63333333333334,37.87777777777778,0.2026666666666666,1.8,2.316666666666667,,,,,,,,,
BIO,ESE,Biosciences,2022/3,2023,55.0,57.85915492957746,31.88732394366197,10.253521126760564,99.38028169014083,35.262910798122064,0.1796244131455399,1.8309859154929575,2.352112676056338,CAH03-01,79.8923823109843,77.56222855514392,71.27849430989204,80.86521553563807,88.56691897137313,87.50701168614357,70.58504015068901,90.30816937553465
BIO,ESE,Biosciences,2023/4,2024,56.0,58.72222222222222,30.61111111111111,10.666666666666666,95.63888888888889,35.68981481481482,0.1832407407407407,1.805555555555556,2.3472222222222223,CAH03-01,79.4950755206006,74.49843357391072,69.83952590959207,82.8169382847983,85.0753527579256,84.04271071657362,65.8251441119956,90.38083812324555
BIO,ESE,Biosciences,2024/5,2025,53.0,70.54285714285714,21.12857142857143,8.32857142857143,98.44285714285714,35.82857142857143,0.1813333333333333,1.5714285714285714,2.271428571428572,CAH03-01,79.40238198354267,74.9273812613548,74.32727272727273,80.68820969208782,87.48382326899238,80.68633733867378,66.8596557288865,87.26202153886076
CLA,HASS,Languages and area studies,2019/0,2020,47.0,44.53333333333333,49.86666666666667,5.6,27.16176470588235,50.85333333333333,0.1904888888888888,1.96,2.7066666666666666,,,,,,,,,
CLA,HASS,Languages and area studies,2020/1,2021,58.0,52.22222222222222,37.333333333333336,10.444444444444445,30.264367816091955,48.922222222222224,0.1866666666666666,1.855555555555556,3.2555555555555555,,,,,,,,,
CLA,HASS,Languages and area studies,2021/2,2022,46.0,55.47945205479452,33.97260273972603,10.547945205479452,25.942857142857143,50.47945205479452,0.1889632557996996,1.7397260273972603,3.246575342465753,,,,,,,,,
CLA,HASS,Languages and area studies,2022/3,2023,48.0,56.62162162162162,32.83783783783784,10.54054054054054,26.985915492957748,49.87837837837838,0.1978239778239778,1.635135135135135,3.0945945945945947,CAH19-04,89.08894289185905,78.6090510948905,68.3,81.83163172288059,87.49634300126104,80.65299251870324,69.1404609475032,90.825
CLA,HASS,Languages and area studies,2023/4,2024,53.0,54.5,36.375,9.125,26.59210526315789,49.16455696202532,0.1923206751054852,1.6875,3.05,CAH19-04,82.95425950196594,72.4307328605201,66.9,79.19567779960707,83.6189701897019,76.7073469387755,65.27551867219917,88.325
CLA,HASS,Languages and area studies,2024/5,2025,57.0,60.94117647058823,30.705882352941178,8.352941176470589,29.036585365853657,48.4,0.198497737556561,1.6470588235294117,3.0352941176470587,CAH19-04,84.11558245083208,76.7991847826087,83.6,84.94835787089467,90.09606918238994,82.98519685039369,67.0874193548387,91.40566251415628
DRA,HASS,Performing arts,2020/1,2021,15.0,85.33333333333333,0.0,14.666666666666666,39.2,45.333333333333336,0.1511861761426978,1.1333333333333333,2.2,,,,,,,,,
DRA,HASS,Performing arts,2021/2,2022,29.0,87.93103448275862,0.0,12.06896551724138,43.58620689655172,46.41379310344828,0.1547207165647945,1.137931034482759,2.2758620689655173,,,,,,,,,
DRA,HASS,Performing arts,2022/3,2023,29.0,84.13793103448276,0.0,15.862068965517242,43.89655172413793,46.41379310344828,0.1547207165647945,1.206896551724138,2.310344827586207,CAH25-02,74.06666666666668,73.92813036020583,49.5,72.85000000000001,80.59478260869564,77.24256559766764,53.57218934911243,83.75
DRA,HASS,Performing arts,2023/4,2024,32.0,86.875,0.0,13.125,39.78125,52.0,0.173340649386845,1.28125,2.5,CAH25-02,81.16666666666667,76.38000000000001,59.89999999999999,81.875,89.36666666666667,85.66885644768857,64.30788177339902,92.775
DRA,HASS,Performing arts,2024/5,2025,30.0,86.33333333333333,0.0,13.666666666666666,37.56666666666667,51.766666666666666,0.172563359345968,1.2666666666666666,2.1333333333333333,CAH25-02,81.2,76.13989071038252,78.2,83.175,89.64924012158055,84.09532710280374,64.61770186335403,95.0
EAF,HASS,"Media, journalism and communications",2020/1,2021,18.0,83.88888888888889,5.0,11.11111111111111,33.888888888888886,67.33333333333333,0.2223368016846278,1.5555555555555556,2.555555555555556,,,,,,,,,
EAF,HASS,"Media, journalism and communications",2021/2,2022,18.0,86.11111111111111,5.0,8.88888888888889,38.888888888888886,67.33333333333333,0.2223368016846278,1.5,2.611111111111111,,,,,,,,,
EAF,HASS,"Media, journalism and communications",2022/3,2023,18.0,92.22222222222224,5.0,2.7777777777777777,47.333333333333336,70.77777777777777,0.2343996805016295,1.3888888888888888,2.555555555555556,CAH24-01,79.33333333333333,80.76,61.8,83.225,87.53776824034334,83.27639484978542,63.75327510917031,94.275
EAF,HASS,"Media, journalism and communications",2023/4,2024,19.0,90.27777777777776,2.5,7.222222222222222,49.0,66.02777777777777,0.2235823114083983,1.4444444444444444,2.611111111111111,CAH24-01,85.66666666666667,81.25999999999999,68.5,82.2,88.97673860911272,79.75903614457832,71.20833333333333,91.025
EAF,HASS,"Media, journalism and communications",2024/5,2025,20.0,95.12820512820512,0.0,4.871794871794871,46.64102564102564,65.05128205128206,0.2169350827544807,1.1538461538461535,2.025641025641025,CAH24-01,81.43333333333334,72.06607369758576,78.3,82.1,86.54434968017058,78.98528138528138,68.14563318777293,84.95
EAS,HASS,English studies,2019/0,2020,44.0,77.1264367816092,18.160919540229884,4.712643678160919,71.03529411764706,34.40229885057471,0.1203940483724753,1.7126436781609196,2.4597701149425286,,,,,,,,,
EAS,HASS,English studies,2020/1,2021,50.0,81.53061224489795,13.877551020408164,4.591836734693878,67.12903225806451,34.51020408163265,0.121166144983728,1.663265306122449,2.673469387755102,,,,,,,,,
EAS,HASS,English studies,2021/2,2022,51.0,82.2,13.7,4.1,67.12903225806451,34.48,0.1209428220840535,1.63,2.54,,,,,,,,,
EAS,HASS,English studies,2022/3,2023,58.0,83.94736842105263,12.017543859649123,4.035087719298246,61.822429906542055,34.29824561403509,0.1337016968082592,1.587719298245614,2.6140350877192984,CAH19-01,84.25855115758029,81.93448275862069,58.9,81.95,88.00580945003873,84.37838258164851,66.99520062942564,93.1
EAS,HASS,English studies,2023/4,2024,60.0,82.92035398230088,12.035398230088497,5.04424778761062,63.08490566037736,37.06194690265487,0.1449198237491101,1.646017699115044,2.858407079646017,CAH19-01,86.48945147679325,77.68183733670459,67.7,84.52072784810126,88.83654676258995,86.86545981173064,71.06571637426902,94.3
EAS,HASS,English studies,2024/5,2025,62.0,86.25,9.083333333333334,4.666666666666667,61.91379310344828,34.541666666666664,0.1359131756613519,1.5583333333333331,2.691666666666667,CAH19-01,83.7,73.22,79.7,82.325,90.52679324894514,85.157310565635,71.23540106951873,92.225
ECM,ESE,Computing,2019/0,2020,47.0,57.2258064516129,38.14516129032258,4.629032258064516,75.8225806451613,40.62903225806452,0.3605927906058717,1.7903225806451613,3.254237288135593,,,,,,,,,
ECM,ESE,Engineering,2019/0,2020,47.0,57.2258064516129,38.14516129032258,4.629032258064516,75.8225806451613,40.62903225806452,0.3605927906058717,1.7903225806451613,3.254237288135593,,,,,,,,,
ECM,ESE,Computing,2020/1,2021,47.0,57.70967741935484,38.14516129032258,4.145161290322581,73.20967741935483,37.854838709677416,0.3418058439209353,1.7741935483870968,3.3559322033898304,,,,,,,,,
ECM,ESE,Engineering,2020/1,2021,47.0,57.70967741935484,38.14516129032258,4.145161290322581,73.20967741935483,37.854838709677416,0.3418058439209353,1.7741935483870968,3.3559322033898304,,,,,,,,,
ECM,ESE,Computing,2021/2,2022,47.0,58.67741935483871,37.17741935483871,4.145161290322581,76.30645161290323,36.70967741935484,0.3341714353187847,1.7580645161290325,3.440677966101695,,,,,,,,,
ECM,ESE,Engineering,2021/2,2022,47.0,58.67741935483871,37.17741935483871,4.145161290322581,76.30645161290323,36.70967741935484,0.3341714353187847,1.7580645161290325,3.440677966101695,,,,,,,,,
ECM,ESE,Computing,2022/3,2023,28.0,52.627906976744185,41.51162790697674,5.8604651162790695,74.88372093023256,35.81395348837209,0.3678098133074604,1.7906976744186047,3.45,CAH11-01,76.94507692307693,77.06924493554328,75.03076923076922,81.49586206896552,88.22340425531915,83.09217527386542,70.05772357723578,85.68325688073395
ECM,ESE,Engineering,2022/3,2023,28.0,52.627906976744185,41.51162790697674,5.8604651162790695,74.88372093023256,35.81395348837209,0.3678098133074604,1.7906976744186047,3.45,CAH10-01,75.45230061349692,78.59595588235294,74.26039603960396,82.91880733944954,82.83401574803149,81.89578783151326,63.15016233766234,88.5187141216992
ECM,ESE,Computing,2023/4,2024,11.0,50.0,40.45454545454545,9.545454545454543,27.09090909090909,20.40909090909091,0.4758774673338893,1.818181818181818,3.0454545454545454,CAH11-01,66.89438717067583,73.68380952380951,77.62307692307694,75.42823129251701,81.89538461538463,71.2208187134503,64.640799031477,80.52227891156463
ECM,ESE,Engineering,2023/4,2024,11.0,50.0,40.45454545454545,9.545454545454543,27.09090909090909,20.40909090909091,0.4758774673338893,1.818181818181818,3.0454545454545454,CAH10-01,73.86306748466257,73.64464416727806,75.3923076923077,78.34550458715597,82.84304511278195,73.12537313432836,58.71224358974359,81.9190366972477
ECM,ESE,Computing,2024/5,2025,10.0,50.47619047619048,41.90476190476191,7.619047619047619,30.714285714285715,18.571428571428573,0.1186111111111111,1.7142857142857142,2.8095238095238093,CAH11-01,69.30488095238096,76.64730957372467,72.45147058823531,81.43266550522648,88.65647348951913,81.23474576271185,72.9299872935197,82.40252613240419
ECM,ESE,Engineering,2024/5,2025,10.0,50.47619047619048,41.90476190476191,7.619047619047619,30.714285714285715,18.571428571428573,0.1186111111111111,1.7142857142857142,2.8095238095238093,CAH10-01,74.55292652552926,79.29164179104478,82.05675675675674,82.42847805788983,85.6232233502538,81.75569620253165,61.019189189189184,80.1311797752809
ENG,ESE,Engineering,2020/1,2021,30.0,59.86486486486486,31.08108108108108,9.054054054054054,163.33333333333334,55.054054054054056,0.2526126126126126,1.7837837837837838,3.4324324324324325,,,,,,,,,
ENG,ESE,Engineering,2021/2,2022,38.0,60.56818181818182,29.545454545454547,9.886363636363637,111.66666666666669,45.59090909090909,0.2425757575757576,1.75,3.25,,,,,,,,,
ENG,ESE,Engineering,2022/3,2023,49.0,63.660714285714285,29.464285714285715,6.875,94.0,44.375,0.2333333333333333,1.6428571428571428,3.125,CAH10-01,75.45230061349692,78.59595588235294,74.26039603960396,82.91880733944954,82.83401574803149,81.89578783151326,63.15016233766234,88.5187141216992
ENG,ESE,Engineering,2023/4,2024,71.0,66.60493827160494,29.444444444444443,3.950617283950617,64.08771929824562,45.45679012345679,0.251111111111111,1.5802469135802468,3.098765432098765,CAH10-01,73.86306748466257,73.64464416727806,75.3923076923077,78.34550458715597,82.84304511278195,73.12537313432836,58.71224358974359,81.9190366972477
ENG,ESE,Engineering,2024/5,2025,71.0,65.0,31.049382716049383,3.950617283950617,70.28333333333333,46.65432098765432,0.2562269022835471,1.5925925925925926,3.111111111111111,CAH10-01,74.55292652552926,79.29164179104478,82.05675675675674,82.42847805788983,85.6232233502538,81.75569620253165,61.019189189189184,80.1311797752809
GEO,ESE,"Geography, earth and environmental studies",2019/0,2020,37.0,78.75,16.71875,4.53125,63.046875,15.8125,0.0951041666666667,1.34375,1.9375,,,,,,,,,
GEO,ESE,"Geography, earth and environmental studies",2020/1,2021,42.0,86.81159420289855,10.579710144927535,2.608695652173913,62.27536231884058,16.942028985507246,0.1033511314518179,1.2028985507246377,1.9420289855072463,,,,,,,,,
GEO,ESE,"Geography, earth and environmental studies",2021/2,2022,50.0,87.0886075949367,10.379746835443038,2.5316455696202533,73.46835443037975,19.39240506329114,0.1209016211414612,1.1898734177215189,1.8734177215189876,,,,,,,,,
GEO,ESE,"Geography, earth and environmental studies",2022/3,2023,51.0,82.75,13.75,3.5,74.1875,19.5875,0.1188070175438596,1.2,1.85,CAH26-01,74.51624441132638,72.39982118909253,74.3,79.225,90.21927413127412,82.29905588548804,63.67801341026041,85.47500000000001
GEO,ESE,"Geography, earth and environmental studies",2023/4,2024,56.0,84.06976744186046,12.674418604651162,3.255813953488372,76.17647058823529,20.41860465116279,0.1169437479794279,1.1744186046511629,1.7674418604651163,CAH26-01,79.10739165421313,75.60062026188835,69.9,82.9036294503975,89.57032250414986,87.14487821932175,66.27250712250712,88.15392173763145
GEO,ESE,"Geography, earth and environmental studies",2024/5,2025,51.0,85.47945205479452,13.972602739726028,0.547945205479452,82.34722222222223,21.10958904109589,0.1237442922374428,1.0684931506849316,1.5616438356164384,CAH26-01,80.15279255319147,79.87392344497607,82.5,86.83463112708395,92.78644253109196,86.90811907983762,72.23403199117483,89.54547721152886
HIH,HASS,History and archaeology,2019/0,2020,51.0,60.689655172413794,27.35632183908046,11.954022988505749,35.4,38.57471264367816,0.1412260536398467,2.057471264367816,2.32183908045977,,,,,,,,,
HIH,HASS,History and archaeology,2020/1,2021,44.0,71.16883116883118,23.376623376623375,5.454545454545454,38.375,38.72727272727273,0.1395670995670996,1.8311688311688312,2.220779220779221,,,,,,,,,
HIH,HASS,History and archaeology,2021/2,2022,54.0,81.55555555555556,8.444444444444445,10.0,38.13483146067416,37.77777777777778,0.1405925925925926,1.6888888888888889,2.6222222222222222,,,,,,,,,
HIH,HASS,History and archaeology,2022/3,2023,79.0,83.15789473684211,5.714285714285714,11.12781954887218,33.78030303030303,38.46616541353384,0.1420050125313283,1.6466165413533835,2.571428571428572,CAH20-01,83.54222445898338,78.96127864897467,66.6,79.4928679245283,88.57272727272728,81.72689938398358,66.39554039874082,91.175
HIH,HASS,History and archaeology,2023/4,2024,73.0,81.30081300813008,0.4878048780487805,18.211382113821134,48.10169491525424,37.5609756097561,0.1381571815718157,1.6016260162601623,2.268292682926829,CAH20-01,83.05464316423044,75.31195455719082,72.3,79.50708762886597,88.23511852502195,80.78681898066783,65.27319587628865,90.075
HIH,HASS,History and archaeology,2024/5,2025,75.0,78.38340142593928,1.0526315789473684,20.563966995113358,41.35625,60.87058823529412,0.1360392156862745,1.725146198830409,2.1695906432748537,CAH20-01,84.59446437724243,73.74837423312884,79.2,82.27498084291189,88.35627615062762,84.59610935856992,65.22666311868015,91.87464572960552
LAW,HASS,Law,2019/0,2020,42.0,60.50561797752809,31.96629213483146,7.52808988764045,97.94252873563218,44.3013698630137,0.1612534093346817,1.4269662921348314,1.9775280898876404,,,,,,,,,
LAW,HASS,Law,2020/1,2021,41.0,65.40229885057471,28.091954022988507,6.505747126436781,99.19767441860463,44.098591549295776,0.1611349528940984,1.4482758620689655,2.057471264367816,,,,,,,,,
LAW,HASS,Law,2021/2,2022,47.0,67.44680851063829,25.148936170212767,7.404255319148936,111.40425531914892,43.02564102564103,0.1617598806860551,1.425531914893617,2.0,,,,,,,,,
LAW,HASS,Law,2022/3,2023,48.0,63.333333333333336,32.689655172413794,3.977011494252874,132.183908045977,38.333333333333336,0.1474293502018565,1.4367816091954022,1.9540229885057472,CAH16-01,72.10360500048454,75.3784281999422,69.0,76.74706988858341,86.02421573478476,79.45616017444742,61.42320375736984,86.99668396770473
LAW,HASS,Law,2023/4,2024,51.0,61.84782608695652,34.391304347826086,3.760869565217391,134.94565217391303,38.95652173913044,0.1493444217488571,1.4565217391304348,1.934782608695652,CAH16-01,72.18010704727922,72.53632255206026,75.6,76.13606575585915,87.78474756690999,84.59723589549412,61.16785464166213,86.52445971406405
LAW,HASS,Law,2024/5,2025,55.0,63.05263157894737,33.305263157894736,3.642105263157895,133.62637362637363,37.87368421052632,0.1499855926993979,1.4631578947368422,1.8842105263157896,CAH16-01,74.21390194761585,69.62,78.0,76.33062080536914,85.4104107406986,83.46587802917192,57.63773364485981,85.95
MTH,ESE,Mathematical sciences,2019/0,2020,36.0,41.66666666666666,55.37037037037037,2.962962962962963,95.1923076923077,42.47916666666666,0.1931857638888889,1.6666666666666667,2.9166666666666665,,,,,,,,,
MTH,ESE,Mathematical sciences,2020/1,2021,37.0,45.37735849056604,51.886792452830186,2.7358490566037736,101.76923076923076,39.66666666666666,0.1939887440213392,1.7924528301886793,3.0,,,,,,,,,
MTH,ESE,Mathematical sciences,2021/2,2022,35.0,44.21568627450981,52.94117647058823,2.843137254901961,104.6470588235294,40.02127659574468,0.1948537527593819,1.843137254901961,3.042553191489361,,,,,,,,,
MTH,ESE,Mathematical sciences,2022/3,2023,37.0,45.75471698113208,50.56603773584906,3.679245283018868,102.54716981132076,39.57142857142857,0.1949277492453935,1.830188679245283,3.3877551020408165,CAH09-01,75.52536491983729,73.66620886981401,72.15168374816984,78.62680042995342,84.323292773777,81.18460975609754,60.14053779807205,83.52891824348447
MTH,ESE,Mathematical sciences,2023/4,2024,35.0,41.86274509803921,53.333333333333336,4.803921568627451,103.66666666666669,39.80851063829788,0.193577157014701,1.862745098039216,3.404255319148936,CAH09-01,74.72631113078116,76.43074369189907,73.01764705882353,83.73945892444738,81.57497645951034,82.06890092529902,60.45454545454545,84.52363306982872
MTH,ESE,Mathematical sciences,2024/5,2025,34.0,36.27659574468085,58.51063829787234,5.212765957446808,116.8913043478261,39.61702127659574,0.1923005612700202,1.9574468085106385,3.234042553191489,CAH09-01,78.2818422956354,80.9276559139785,78.37580893682588,82.65404530744335,85.88673799452602,86.74860294117646,69.2917780061665,87.6945278969957
NSC,ESE,"General, applied and forensic sciences",2019/0,2020,13.0,60.583333333333336,20.5,18.916666666666668,30.791666666666668,90.58333333333331,0.2916666666666667,1.9583333333333333,5.875,,,,,,,,,
NSC,ESE,"General, applied and forensic sciences",2020/1,2021,14.0,59.76,22.08,18.16,37.6,87.28,0.2816070175438597,1.96,5.76,,,,,,,,,
NSC,ESE,"General, applied and forensic sciences",2021/2,2022,14.0,59.76,22.08,18.16,37.6,87.28,0.2816070175438597,1.96,5.76,,,,,,,,,
NSC,ESE,"General, applied and forensic sciences",2022/3,2023,14.0,59.76,22.08,18.16,37.6,87.68,0.2842736842105263,1.96,5.72,CAH07-04,83.82121212121213,87.88727272727273,90.6375,90.91818181818182,90.9121212121212,98.95104166666664,76.30412371134021,93.9318181818182
NSC,ESE,"General, applied and forensic sciences",2023/4,2024,13.0,60.583333333333336,20.5,18.916666666666668,37.29166666666666,90.41666666666669,0.2900073099415205,1.9583333333333333,5.833333333333333,CAH07-04,92.54649122807017,89.72263157894737,73.64736842105265,95.39111842105264,88.84866071428571,94.1,79.1710407239819,96.05065789473684
NSC,ESE,"General, applied and forensic sciences",2024/5,2025,14.0,60.96,20.88,18.16,37.6,94.72,0.3120070175438597,1.96,5.72,CAH07-04,94.3825,94.39477611940298,77.75555555555556,95.82916666666668,93.62611464968153,96.28148148148148,82.80191082802547,97.225
PHL,HASS,Philosophy and religious studies,2019/0,2020,45.0,66.73913043478261,32.82608695652174,0.4347826086956521,51.47727272727273,23.195652173913043,0.1526612197257076,1.4782608695652173,1.9130434782608696,,,,,,,,,
PHL,HASS,Philosophy and religious studies,2020/1,2021,53.0,69.07407407407408,29.25925925925926,1.6666666666666667,46.88461538461539,23.12962962962963,0.152518849946143,1.4814814814814814,1.962962962962963,,,,,,,,,
PHL,HASS,Philosophy and religious studies,2021/2,2022,54.0,70.36363636363636,26.90909090909091,2.727272727272727,47.92592592592592,23.01818181818182,0.1518234695952816,1.4727272727272729,1.945454545454545,,,,,,,,,
PHL,HASS,Philosophy and religious studies,2022/3,2023,66.0,78.65671641791045,18.65671641791045,2.6865671641791047,44.46153846153846,22.388059701492537,0.147857086777251,1.3432835820895523,1.9701492537313432,CAH20-02,78.2880239520958,76.67156293222683,69.5,76.75,88.33315559864273,82.12746679316888,63.41091954022989,90.725
PHL,HASS,Philosophy and religious studies,2023/4,2024,62.0,79.60317460317461,17.936507936507937,2.4603174603174605,45.62295081967213,22.73015873015873,0.1500490711228965,1.3015873015873016,2.063492063492064,CAH20-02,79.09322033898304,75.60481036077707,73.0,82.23293135435992,89.27763243950294,82.78834123222748,68.08378203048977,89.8054528650647
PHL,HASS,Philosophy and religious studies,2024/5,2025,68.0,79.92753623188406,16.956521739130434,3.1159420289855078,44.34328358208956,22.73913043478261,0.1502555488082187,1.318840579710145,1.9420289855072463,CAH20-02,82.99166666666667,74.32,83.6,80.6220515137822,91.63383742911154,87.49183027232425,74.83615635179152,91.51424694708275
PHY,ESE,Physics and astronomy,2022/3,2023,46.0,31.692307692307693,47.93846153846154,20.369230769230768,55.23809523809524,57.142857142857146,0.3114424203685948,1.7384615384615385,3.171875,CAH07-01,85.5357894736842,82.90806577916993,73.5776,88.6673828125,88.5627659574468,87.28999999999999,68.81636363636363,94.03098039215686
PHY,ESE,Physics and astronomy,2023/4,2024,47.0,34.09090909090909,46.0,19.90909090909091,54.171875,56.325581395348834,0.3076104260964569,1.7424242424242424,3.076923076923077,CAH07-01,84.57087827426811,77.93176361957526,76.27014218009478,77.12804597701148,85.68076311605724,83.39726247987117,75.0304,89.37058823529412
PHY,ESE,Physics and astronomy,2024/5,2025,39.0,34.71153846153846,42.88461538461539,22.403846153846157,59.54,55.8974358974359,0.2977926920208799,1.7307692307692308,3.2549019607843137,CAH07-01,90.36075949367088,79.20318664643399,87.51249999999999,90.45687022900763,87.71153846153847,91.34427480916032,78.85248041775456,94.3996138996139
POL,HASS,Politics,2019/0,2020,50.0,71.45454545454545,24.53030303030303,4.015151515151516,86.74242424242425,31.939393939393938,0.1479072605247101,1.606060606060606,2.3181818181818183,,,,,,,,,
