module_code,academic_year,dept_slug,dept_name,stage,credits_raw,term_raw,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning,origin_date,last_revision_date,fetch_ok,dept_code,level_char,level,faculty,total_hours,contact_ratio,assessment_diversity,assess_was_renormalised
ECM3150,2019/0,engineering,Engineering,,15.0,1,Electromagnetics and Wave Propagation,15.0,16.0,25.0,125.0,,30.0,70.0,0.0,4.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.16666666666666666,2.0,False
ECM3151,2019/0,engineering,Engineering,,15.0,1,Thermofluids and Energy Conversion,15.0,113.0,43.0,107.0,0.0,30.0,70.0,0.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.2866666666666667,2.0,False
ECM3152,2019/0,engineering,Engineering,,15.0,1,Computational Engineering,15.0,79.0,31.0,119.0,29.0,100.0,0.0,0.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,179.0,0.17318435754189945,1.0,False
ECM3153,2019/0,engineering,Engineering,,15.0,1,Management of Product Development,15.0,82.0,22.0,128.0,0.0,40.0,60.0,0.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.14666666666666667,2.0,False
ECM3154,2019/0,engineering,Engineering,,15.0,1,Manufacturing,15.0,28.0,25.0,125.0,0.0,30.0,70.0,0.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.16666666666666666,2.0,False
ECM3155,2019/0,engineering,Engineering,,15.0,1,Structural Engineering,15.0,39.0,37.0,113.0,0.0,35.0,65.0,0.0,3.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.24666666666666667,2.0,False
ECM3156,2019/0,engineering,Engineering,,15.0,1,Civil Engineering Hydraulics,15.0,37.0,39.0,111.0,0.0,30.0,70.0,0.0,2.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.26,2.0,False
ECM3157,2019/0,engineering,Engineering,,15.0,1,Geotechnics 2,15.0,39.0,101.0,49.0,0.0,15.0,50.0,35.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.6733333333333333,3.0,False
ECM3158,2019/0,engineering,Engineering,,15.0,1,Water Resources and Pollution Control,15.0,28.0,48.0,102.0,0.0,30.0,70.0,0.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.32,2.0,False
ECM3159,2019/0,engineering,Engineering,,15.0,1,Management of Processes and People,15.0,26.0,24.0,126.0,0.0,40.0,60.0,0.0,3.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.16,2.0,False
ECM3160,2019/0,engineering,Engineering,,15.0,1,Materials,15.0,49.0,84.0,66.0,0.0,40.0,60.0,0.0,4.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.56,2.0,False
ECM3161,2019/0,engineering,Engineering,,15.0,2,Civil Engineering Design Studies,15.0,34.0,47.0,103.0,0.0,100.0,0.0,0.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.31333333333333335,1.0,False
ECM3162,2019/0,engineering,Engineering,,15.0,2,Electronic Engineering Design Studies,15.0,19.0,98.0,52.0,0.0,100.0,0.0,0.0,6.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.6533333333333333,1.0,False
ECM3163,2019/0,engineering,Engineering,,15.0,2,Mechanical Engineering Design Studies,15.0,86.0,65.0,85.0,0.0,70.0,0.0,30.0,3.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.43333333333333335,2.0,False
ECM3164,2019/0,engineering,Engineering,,15.0,1,Operations Management,15.0,39.0,22.0,128.0,0.0,30.0,70.0,0.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.14666666666666667,2.0,False
ECM3165,2019/0,engineering,Engineering,,15.0,1,Digital Signal Processing,15.0,19.0,45.0,105.0,0.0,40.0,60.0,0.0,5.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.3,2.0,False
ECM3166,2019/0,engineering,Engineering,,15.0,1,Communications Engineering,15.0,17.0,50.0,100.0,0.0,20.0,60.0,20.0,4.0,3.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.3333333333333333,3.0,False
ECM3171,2019/0,engineering,Engineering,,15.0,1,Computer Aided Engineering Drawing,15.0,101.0,27.0,123.0,0.0,100.0,0.0,0.0,4.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.18,1.0,False
ECM3172,2019/0,engineering,Engineering,,60.0,2 and 3,Study Abroad Semester,60.0,10.0,0.0,0.0,600.0,100.0,0.0,0.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,600.0,0.0,1.0,False
ECM3173,2019/0,engineering,Engineering,,15.0,1,Structural Dynamics,15.0,80.0,40.0,110.0,,25.0,75.0,0.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,150.0,0.26666666666666666,2.0,False
ECM3174,2019/0,engineering,Engineering,,120.0,1,Year in Industry,120.0,4.0,6.0,,,80.0,0.0,20.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,6.0,1.0,2.0,False
ECM3175,2019/0,engineering,Engineering,,30.0,"1, 2 and 3",Individual Project,30.0,106.0,27.0,274.0,0.0,100.0,0.0,0.0,2.0,6.0,No,,,True,ECM,3,UG Year 3,ESE,301.0,0.08970099667774087,1.0,False
EMP3001,2019/0,engineering,Engineering,,15.0,1,Commercial and Industrial Experience,15.0,31.0,9.0,61.0,80.0,100.0,0.0,0.0,2.0,6.0,No,,,True,EMP,3,UG Year 3,Unknown,150.0,0.06,1.0,False
EMP3003,2019/0,engineering,Engineering,,45.0,1 and 2,Professional Experience,45.0,1.0,20.0,350.0,80.0,90.0,0.0,10.0,5.0,6.0,No,,,True,EMP,3,UG Year 3,Unknown,450.0,0.044444444444444446,2.0,False
EDU2016,2019/0,education,Education,Stage Two Modules,15.0,1 and 2,Learning for Teaching: School Experience,15.0,20.0,24.0,96.0,30.0,100.0,0.0,0.0,1.0,5.0,No,21/05/2013,17/12/16,True,EDU,2,UG Year 2,HASS,150.0,0.16,1.0,False
EDU2017,2019/0,education,Education,Stage Two Modules,30.0,1 and 2,Learning for Teaching: School Experience,30.0,20.0,24.0,216.0,60.0,100.0,0.0,0.0,1.0,5.0,No,21/05/2013,17/12/16,True,EDU,2,UG Year 2,HASS,300.0,0.08,1.0,False
EDU3013,2019/0,education,Education,Stage Three Modules,15.0,1 and 2,Learning for Teaching: School Experience,15.0,20.0,24.0,96.0,30.0,100.0,0.0,0.0,1.0,6.0,No,21/05/2013,17/12/16,True,EDU,3,UG Year 3,HASS,150.0,0.16,1.0,False
EDU3014,2019/0,education,Education,Stage Three Modules,30.0,1 and 2,Learning for Teaching: School Experience,30.0,20.0,24.0,216.0,60.0,100.0,0.0,0.0,1.0,6.0,No,21/05/2013,17/12/16,True,EDU,3,UG Year 3,HASS,300.0,0.08,1.0,False
PSY1105,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Behaviour and Evolution,15.0,200.0,31.0,119.0,0.0,50.0,50.0,0.0,2.0,4.0,No,12/03/2013,26/06/2019,True,PSY,1,UG Year 1,HLS,150.0,0.20666666666666667,2.0,False
PSY1126,2019/0,psychology,Psychology,Stage One Modules,15.0,2,Classic Studies in Psychology,15.0,200.0,32.0,118.0,0.0,50.0,50.0,0.0,2.0,4.0,No,01/12/2011,16/07/2015,True,PSY,1,UG Year 1,HLS,150.0,0.21333333333333335,2.0,False
PSY1202,2019/0,psychology,Psychology,Stage One Modules,15.0,2,Introduction to Biological Psychology,15.0,250.0,31.0,119.0,0.0,50.0,50.0,0.0,2.0,4.0,No,01/11/2011,07/01/2020,True,PSY,1,UG Year 1,HLS,150.0,0.20666666666666667,2.0,False
PSY1203,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Social Psychology,15.0,250.0,31.0,119.0,0.0,50.0,50.0,0.0,2.0,4.0,No,01/12/2011,26/06/2019,True,PSY,1,UG Year 1,HLS,150.0,0.20666666666666667,2.0,False
PSY1204,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Clinical Psychology,15.0,228.0,31.0,119.0,0.0,50.0,50.0,0.0,2.0,4.0,No,01/12/2011,16/07/2015,True,PSY,1,UG Year 1,HLS,150.0,0.20666666666666667,2.0,False
PSY1205,2019/0,psychology,Psychology,Stage One Modules,15.0,1 and 2,Introduction to Statistics,15.0,220.0,30.0,120.0,0.0,0.0,67.0,33.0,2.0,4.0,No,01/11/2011,05/08/2015,True,PSY,1,UG Year 1,HLS,150.0,0.2,2.0,False
PSY1206,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Research Methods,15.0,250.0,31.0,119.0,0.0,45.0,45.0,10.0,3.0,4.0,No,01/11/2011,20/07/2017,True,PSY,1,UG Year 1,HLS,150.0,0.20666666666666667,3.0,False
PSY1207,2019/0,psychology,Psychology,Stage One Modules,15.0,2,"Cognition, Emotion and Development",15.0,250.0,33.0,117.0,0.0,50.0,50.0,0.0,2.0,4.0,No,01/02/2013,16/07/2015,True,PSY,1,UG Year 1,HLS,150.0,0.22,2.0,False
PSY1208,2019/0,psychology,Psychology,Stage One Modules,15.0,1 and 2,Workplace Learning,15.0,40.0,15.0,100.0,35.0,70.0,0.0,30.0,4.0,4.0,No,17/08/2017,19/06/2019,True,PSY,1,UG Year 1,HLS,150.0,0.1,2.0,False
PSY2203,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Psychology II,15.0,200.0,25.0,125.0,0.0,50.0,50.0,0.0,2.0,5.0,No,01/11/2011,16/07/2015,True,PSY,2,UG Year 2,HLS,150.0,0.16666666666666666,2.0,False
PSY2205,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Personality and Individual Differences,15.0,200.0,25.0,125.0,0.0,50.0,50.0,0.0,2.0,5.0,No,01/11/2011,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.16666666666666666,2.0,False
PSY2206,2019/0,psychology,Psychology,Stage Two Modules,15.0,1 and 2,Methods and Statistics in Psychology II,15.0,500.0,45.0,105.0,0.0,0.0,100.0,0.0,2.0,5.0,No,01/11/2011,03/04/2019,True,PSY,2,UG Year 2,HLS,150.0,0.3,1.0,False
PSY2209,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Cognition Practical I,15.0,75.0,23.0,127.0,0.0,100.0,0.0,0.0,2.0,5.0,No,01/11/2011,17/02/2019,True,PSY,2,UG Year 2,HLS,150.0,0.15333333333333332,1.0,False
PSY2210,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Practical I,15.0,100.0,22.0,128.0,0.0,100.0,0.0,0.0,4.0,5.0,No,01/12/2011,26/03/2019,True,PSY,2,UG Year 2,HLS,150.0,0.14666666666666667,1.0,False
PSY2212,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Cognition Practical II,15.0,75.0,23.0,127.0,0.0,100.0,0.0,0.0,2.0,5.0,No,01/12/2011,17/02/2019,True,PSY,2,UG Year 2,HLS,150.0,0.15333333333333332,1.0,False
PSY2213,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Social Practical II,15.0,80.0,22.0,128.0,0.0,100.0,0.0,0.0,2.0,5.0,No,01/12/2011,19/02/2019,True,PSY,2,UG Year 2,HLS,150.0,0.14666666666666667,1.0,False
PSY2214,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Observations and Experiments in Animal Behaviour,15.0,30.0,33.0,117.0,0.0,100.0,0.0,0.0,4.0,5.0,No,01/11/2011,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.22,1.0,False
PSY2216,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Qualitative Methods and Interview Skills,15.0,50.0,22.0,128.0,0.0,100.0,0.0,0.0,1.0,5.0,No,01/02/2014,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.14666666666666667,1.0,False
PSY2217,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Wild Behaviour,15.0,30.0,86.0,64.0,0.0,100.0,0.0,0.0,4.0,5.0,No,01/04/2014,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.5733333333333334,1.0,False
PSY2218,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Practical III,15.0,90.0,22.0,128.0,0.0,100.0,0.0,0.0,2.0,5.0,No,01/12/2011,26/03/2019,True,PSY,2,UG Year 2,HLS,150.0,0.14666666666666667,1.0,False
PSY2303,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Cognition and Emotion,15.0,220.0,25.0,125.0,0.0,50.0,50.0,0.0,2.0,5.0,No,22/10/2011,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.16666666666666666,2.0,False
PSY2304,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Biological Basis of Behaviour,15.0,260.0,25.0,125.0,0.0,50.0,50.0,0.0,2.0,5.0,No,22/10/2011,08/03/2018,True,PSY,2,UG Year 2,HLS,150.0,0.16666666666666666,2.0,False
PSY2306,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Development Psychology and Psychopathology,15.0,280.0,25.0,125.0,0.0,50.0,50.0,0.0,2.0,5.0,No,01/11/2011,20/07/2018,True,PSY,2,UG Year 2,HLS,150.0,0.16666666666666666,2.0,False
PSY3401,2019/0,psychology,Psychology,Stage Three Modules,45.0,1 and 2,Psychology Research Project,45.0,200.0,35.0,415.0,0.0,100.0,0.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,450.0,0.07777777777777778,1.0,False
PSY3402,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Methods and Statistics in Psychology III,15.0,200.0,22.0,128.0,0.0,0.0,100.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.14666666666666667,1.0,False
PSY3403,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Contemporary Issues in Psychology,15.0,250.0,22.0,128.0,0.0,100.0,0.0,0.0,2.0,6.0,No,01/02/2014,08/05/2019,True,PSY,3,UG Year 3,HLS,150.0,0.14666666666666667,1.0,False
PSY3404,2019/0,psychology,Psychology,Stage Three Modules,120.0,"1, 2 and 3",One Year Study Abroad,120.0,10.0,0.0,0.0,1200.0,100.0,0.0,0.0,1.0,6.0,No,23/02/2017,23/02/2017,True,PSY,3,UG Year 3,HLS,1200.0,0.0,1.0,False
PSY3410,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Stereotypes and Stereotyping,15.0,35.0,33.0,117.0,0.0,40.0,50.0,10.0,3.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,3.0,False
PSY3411,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Psychology and Law,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,20/02/2014,23/02/2017,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3412,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Psychology of Gender,15.0,35.0,33.0,117.0,0.0,40.0,50.0,10.0,3.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,3.0,False
PSY3416,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Work and Organisational Psychology,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,22/06/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3417,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Associative Mind,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3418,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Processes of Human Memory,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3419,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Studying Cognition and Emotion with Brain Imaging,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3420,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Brain Plasticity and Language Learning across the Lifespan,15.0,335.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3424,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,"Applied Social Psychology: Health, Environment and Society",15.0,35.0,33.0,117.0,0.0,50.0,50.0,0.0,2.0,6.0,No,28/01/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3425,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Cognitive Behavioural Approaches to Mood Disorders,15.0,35.0,33.0,117.0,0.0,70.0,30.0,0.0,3.0,6.0,No,01/02/2014,24/03/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3426,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Parental Psychiatric Disorders and Children's Development,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3427,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Compulsive Behaviour,15.0,35.0,35.0,115.0,0.0,40.0,60.0,0.0,2.0,6.0,No,01/02/2014,07/03/2018,True,PSY,3,UG Year 3,HLS,150.0,0.23333333333333334,2.0,False
PSY3431,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Comparative Approaches in the Study of Brain and Behaviour,15.0,35.0,33.0,117.0,0.0,40.0,50.0,10.0,3.0,6.0,No,31/01/2016,11/02/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,3.0,False
PSY3432,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Moral Mind,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,11/02/2016,11/02/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3434,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,"Mindfulness-based Interventions: Practice, Theoretical Backgrounds and Findings",15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,02/02/2016,14/03/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3436,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Neuropsychology of Ageing and Dementia,15.0,35.0,33.0,117.0,0.0,40.0,50.0,10.0,3.0,6.0,No,24/01/2017,11/02/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,3.0,False
PSY3437,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Psychology of Addiction,15.0,35.0,33.0,117.0,0.0,40.0,50.0,10.0,3.0,6.0,No,23/02/2017,11/02/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,3.0,False
PSY3438,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Prosociality and Cooperation,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,02/04/2019,10/05/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3439,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Social Exclusion and Inclusion in Childhood and Adolescence,15.0,35.0,33.0,117.0,0.0,40.0,60.0,0.0,2.0,6.0,No,29/03/2019,10/05/2019,True,PSY,3,UG Year 3,HLS,150.0,0.22,2.0,False
PSY3910,2019/0,psychology,Psychology,Stage Three Modules,5.0,1 and 2,Professional Development Experience,5.0,30.0,45.0,5.0,0.0,50.0,0.0,50.0,2.0,6.0,No,13/07/2015,16/04/2018,True,PSY,3,UG Year 3,HLS,50.0,0.9,2.0,False
PYC3007,2019/0,psychology,Psychology,Stage Three Modules,60.0,"1, 2 and 3",Core Skills for Working with Young People with Mental Health Problems and Their Families,60.0,5.0,200.0,400.0,0.0,100.0,0.0,0.0,4.0,6.0,No,29/09/2015,29/09/2015,True,PYC,3,UG Year 3,HLS,600.0,0.3333333333333333,1.0,False
PYC3008,2019/0,psychology,Psychology,Stage Three Modules,60.0,"1, 2 and 3",Evidence-based CBT with Children and Young People,60.0,5.0,200.0,400.0,0.0,55.0,0.0,45.0,7.0,6.0,No,29/09/2015,29/09/2015,True,PYC,3,UG Year 3,HLS,600.0,0.3333333333333333,2.0,False
PYC3009,2019/0,psychology,Psychology,Stage Three Modules,60.0,"1, 2 and 3",Evidence-based Parenting Interventions,60.0,5.0,200.0,400.0,0.0,55.0,0.0,45.0,7.0,6.0,No,29/09/2015,29/09/2015,True,PYC,3,UG Year 3,HLS,600.0,0.3333333333333333,2.0,False
PYC3010,2019/0,psychology,Psychology,Stage Three Modules,20.0,"1, 2 and 3",Fundamental Principles 0-5s,20.0,2.0,113.0,37.0,50.0,0.0,0.0,100.0,2.0,6.0,No,01/12/2016,17/01/2018,True,PYC,3,UG Year 3,HLS,200.0,0.565,1.0,False
