module_code,academic_year,dept_slug,dept_name,stage,credits_raw,term_raw,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning,origin_date,last_revision_date,fetch_ok
EDUM039,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Chemistry Subject Knowledge and Pedagogy,30,15,101,199,0,100,0,0,1,7,No,26/04/2013,09/07/2018,True
EDUM042,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary English Subject Knowledge and Pedagogy,30,30,92,208,0,100,0,0,1,7,No,13/04/2013,27/07/2018,True
EDUM043,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary French Subject Knowledge and Pedagogy,30,25,100,200,0,100,0,0,1,7,No,28/04/2013,09/07/2018,True
EDUM044,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary German Subject Knowledge and Pedagogy,30,25,100,200,0,100,0,0,1,7,No,28/04/2013,09/07/2018,True
EDUM047,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Mathematics Subject Knowledge and Pedagogy,30,35,100,200,0,100,0,0,1,7,No,17/04/2013,09/07/2018,True
EDUM048,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Physics Subject Knowledge and Pedagogy,30,10,101,199,0,100,0,0,1,7,No,29/04/2013,09/07/2018,True
EDUM049,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Physical Education Subject Knowledge and Pedagogy,30,40,100,200,0,100,0,0,1,7,No,17/04/2013,09/07/2018,True
EDUM051,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Spanish Subject Knowledge and Pedagogy,30,10,100,200,0,100,0,0,1,7,No,28/04/2013,09/07/2018,True
EDUM052,2019/0,education,Education,Masters Modules,,"1, 2 and 3",Secondary Professional Learning,,200,0,600,600,100,0,0,1,6,No,30/04/2013,09/07/2018,True
EDUM061,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Primary Teaching and Learning,30,28,51,149,0,100,0,0,1,7,No,11/08/2016,05/02/2019,True
EFPM266,2019/0,education,Education,Masters Modules,30.0,1,Principles of Language Learning for TESOL,30,20,50,250,0,100,0,0,1,7,No,,01/02/13,True
EFPM268,2019/0,education,Education,Masters Modules,15.0,1,Developing an Appropriate Language Teaching Methodology,15,20,16,134,0,100,0,0,1,7,No,,01/06/2013,True
EFPM269,2019/0,education,Education,Masters Modules,15.0,1,Developing Language Teachers,15,20,30,120,0,100,0,0,1,7,No,,20/12/12,True
EFPM270,2019/0,education,Education,Masters Modules,30.0,1,SEN: Teaching and Learning,30,12,30,270,0,60,0,40,2,7,No,28/02/13,29/03/2019,True
EFPM278,2019/0,education,Education,Masters Modules,30.0,1 and 2,SEN Organisational Contexts,30,20,21,279,0,100,0,0,4,7,No,,13/7/2014,True
EFPM279,2019/0,education,Education,Masters Modules,30.0,2 and 3,SEN Leading on Teaching and Learning,30,20,21,279,0,100,0,0,1,7,No,,13/07/2016,True
EFPM280,2019/0,education,Education,Masters Modules,30.0,1 and 2,Developing Practical Knowledge for TESOL Teaching,30,30,150,150,0,100,0,0,1,7,No,,08/02/13,True
EFPM285,2019/0,education,Education,Masters Modules,,"1, 2 and 3",Learning Outcomes Portfolio,,20,0,0,0,100,0,0,1,6,No,,13/07/2016,True
EFPM288,2019/0,education,Education,Masters Modules,30.0,1 and 2,Learning and Teaching in Higher Education,30,33,30,270,0,100,0,0,3,7,No,03/10/2011,28/08/2019,True
EFPM292,2019/0,education,Education,Masters Modules,15.0,2,,,,,,,,,,,,,,,True
EFPM308,2019/0,education,Education,Masters Modules,60.0,"1, 2 and 3",Preparing for Educational Research and Dissertation,60,90,40,560,0,100,0,0,1,7,No,01/09/14,26/03/2019,True
EFPM311,2019/0,education,Education,Masters Modules,15.0,"1, 2 and 3",Principles and Practices of Curriculum Development and Syllabus Design,15,15,15,135,0,100,0,0,1,7,No,,12/12/12,True
EFPM313,2019/0,education,Education,Masters Modules,15.0,2,Issues in English Language Teaching,15,10,16,134,0,100,0,0,1,7,No,27/11/2012,24/05/2013,True
EFPM329,2019/0,education,Education,Masters Modules,60.0,,Preparing for TESOL Inquiry and Dissertation,60,60,40,560,,100,0,0,1,7,No,01/05/2015,,True
EFPM787,2019/0,education,Education,Masters Modules,15.0,1,Teaching English to Young Learners,15,20,30,120,0,100,0,0,1,7,No,,October 2012,True
EFPM835,2019/0,education,Education,Masters Modules,15.0,2,Foreign Language Testing and Assessment,15,45,35,115,0,100,0,0,1,7,No,,25/01/13,True
EFPM837,2019/0,education,Education,Masters Modules,15.0,2,Teaching and Researching English for Academic Purposes,15,10,16,134,0,100,0,0,1,7,No,27/06/2012,16/05/2012,True
EFPM900,2019/0,education,Education,Masters Modules,30.0,1 and 2,The Contemporary Academic in Context,30,50,22,278,0,100,0,0,4,7,No,20/5/2008,04/02/2019,True
EFPM902,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Creating Effective Learning in Higher Education,30,50,38,262,0,100,0,0,4,7,No,30/5/2008,04/02/19,True
EFPM906,2019/0,education,Education,Masters Modules,30.0,1,"Arts Education Theory, Practice and Potential",30,15,30,269,0,100,0,0,2,7,No,01/06/18,01/06/18,True
EFPM907,2019/0,education,Education,Masters Modules,30.0,2,"Creativity in Education: Valuing, Facilitating and Assessing It",30,15,24,270,0,100,0,0,3,7,Yes,01/05/18,01/05/18,True
EFPM910,2019/0,education,Education,Masters Modules,30.0,2,Education Policy,30,20,30,269,0,100,0,0,1,7,No,01/06/2018,29/03/2019,True
EFPM911,2019/0,education,Education,Masters Modules,30.0,1,Educational Leadership and Management,30,20,30,269,0,100,0,0,2,7,No,01/06/18,29/03/2019,True
EFPM912,2019/0,education,Education,Masters Modules,30.0,1,Perspectives on International Education,30,20,30,269,0,100,0,0,2,7,No,01/06/2018,11/10/2019,True
EFPM914,2019/0,education,Education,Masters Modules,30.0,1,Education Studies,30,70,30,269,0,100,0,0,3,7,Yes,25/05/2018,29/03/2019,True
ERPM000,2019/0,education,Education,Masters Modules,30.0,2,The Nature of Educational Enquiry,30,30,30,270,0,100,0,0,1,7,Yes,01/10/2003,06/11/2012,True
ERPM004,2019/0,education,Education,Masters Modules,60.0,"1, 2 and 3",Dissertation,60,40,37,563,0,100,0,0,1,7,Yes,15/08/2012,09/07/2018,True
ERPM005,2019/0,education,Education,Masters Modules,30.0,1,Designing and Communicating Research,30,30,30,270,0,100,0,0,2,7,Yes,,19/08/16,True
PSY1105,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Behaviour and Evolution,15,200,31,119,0,50,50,0,2,4,No,12/03/2013,26/06/2019,True
PSY1126,2019/0,psychology,Psychology,Stage One Modules,15.0,2,Classic Studies in Psychology,15,200,32,118,0,50,50,0,2,4,No,01/12/2011,16/07/2015,True
PSY1202,2019/0,psychology,Psychology,Stage One Modules,15.0,2,Introduction to Biological Psychology,15,250,31,119,0,50,50,0,2,4,No,01/11/2011,07/01/2020,True
PSY1203,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Social Psychology,15,250,31,119,0,50,50,0,2,4,No,01/12/2011,26/06/2019,True
PSY1204,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Clinical Psychology,15,228,31,119,0,50,50,0,2,4,No,01/12/2011,16/07/2015,True
PSY1205,2019/0,psychology,Psychology,Stage One Modules,15.0,1 and 2,Introduction to Statistics,15,220,30,120,0,0,67,33,2,4,No,01/11/2011,05/08/2015,True
PSY1206,2019/0,psychology,Psychology,Stage One Modules,15.0,1,Introduction to Research Methods,15,250,31,119,0,45,45,10,3,4,No,01/11/2011,20/07/2017,True
PSY1207,2019/0,psychology,Psychology,Stage One Modules,15.0,2,"Cognition, Emotion and Development",15,250,33,117,0,50,50,0,2,4,No,01/02/2013,16/07/2015,True
PSY1208,2019/0,psychology,Psychology,Stage One Modules,15.0,1 and 2,Workplace Learning,15,40,15,100,35,70,0,30,4,4,No,17/08/2017,19/06/2019,True
PSY2203,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Psychology II,15,200,25,125,0,50,50,0,2,5,No,01/11/2011,16/07/2015,True
PSY2205,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Personality and Individual Differences,15,200,25,125,0,50,50,0,2,5,No,01/11/2011,08/03/2018,True
PSY2206,2019/0,psychology,Psychology,Stage Two Modules,15.0,1 and 2,Methods and Statistics in Psychology II,15,500,45,105,0,0,100,0,2,5,No,01/11/2011,03/04/2019,True
PSY2209,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Cognition Practical I,15,75,23,127,0,100,0,0,2,5,No,01/11/2011,17/02/2019,True
PSY2210,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Practical I,15,100,22,128,0,100,0,0,4,5,No,01/12/2011,26/03/2019,True
PSY2212,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Cognition Practical II,15,75,23,127,0,100,0,0,2,5,No,01/12/2011,17/02/2019,True
PSY2213,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Social Practical II,15,80,22,128,0,100,0,0,2,5,No,01/12/2011,19/02/2019,True
PSY2214,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Observations and Experiments in Animal Behaviour,15,30,33,117,0,100,0,0,4,5,No,01/11/2011,08/03/2018,True
PSY2216,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Qualitative Methods and Interview Skills,15,50,22,128,0,100,0,0,1,5,No,01/02/2014,08/03/2018,True
PSY2217,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Wild Behaviour,15,30,86,64,0,100,0,0,4,5,No,01/04/2014,08/03/2018,True
PSY2218,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Social Practical III,15,90,22,128,0,100,0,0,2,5,No,01/12/2011,26/03/2019,True
PSY2303,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Cognition and Emotion,15,220,25,125,0,50,50,0,2,5,No,22/10/2011,08/03/2018,True
PSY2304,2019/0,psychology,Psychology,Stage Two Modules,15.0,2,Biological Basis of Behaviour,15,260,25,125,0,50,50,0,2,5,No,22/10/2011,08/03/2018,True
PSY2306,2019/0,psychology,Psychology,Stage Two Modules,15.0,1,Development Psychology and Psychopathology,15,280,25,125,0,50,50,0,2,5,No,01/11/2011,20/07/2018,True
PSY3401,2019/0,psychology,Psychology,Stage Three Modules,45.0,1 and 2,Psychology Research Project,45,200,35,415,0,100,0,0,2,6,No,01/02/2014,07/03/2018,True
PSY3402,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Methods and Statistics in Psychology III,15,200,22,128,0,0,100,0,2,6,No,01/02/2014,07/03/2018,True
PSY3403,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Contemporary Issues in Psychology,15,250,22,128,0,100,0,0,2,6,No,01/02/2014,08/05/2019,True
PSY3404,2019/0,psychology,Psychology,Stage Three Modules,120.0,"1, 2 and 3",One Year Study Abroad,120,10,0,0,1200,100,0,0,1,6,No,23/02/2017,23/02/2017,True
PSY3410,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Stereotypes and Stereotyping,15,35,33,117,0,40,50,10,3,6,No,01/02/2014,07/03/2018,True
PSY3411,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Psychology and Law,15,35,33,117,0,40,60,0,2,6,No,20/02/2014,23/02/2017,True
PSY3412,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Psychology of Gender,15,35,33,117,0,40,50,10,3,6,No,01/02/2014,07/03/2018,True
PSY3416,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Work and Organisational Psychology,15,35,33,117,0,40,60,0,2,6,No,01/02/2014,22/06/2018,True
PSY3417,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Associative Mind,15,35,33,117,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3418,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Processes of Human Memory,15,35,33,117,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3419,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Studying Cognition and Emotion with Brain Imaging,15,35,33,117,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3420,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Brain Plasticity and Language Learning across the Lifespan,15,335,33,117,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3424,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,"Applied Social Psychology: Health, Environment and Society",15,35,33,117,0,50,50,0,2,6,No,28/01/2014,07/03/2018,True
PSY3425,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Cognitive Behavioural Approaches to Mood Disorders,15,35,33,117,0,70,30,0,3,6,No,01/02/2014,24/03/2019,True
PSY3426,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Parental Psychiatric Disorders and Children's Development,15,35,33,117,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3427,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Compulsive Behaviour,15,35,35,115,0,40,60,0,2,6,No,01/02/2014,07/03/2018,True
PSY3431,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Comparative Approaches in the Study of Brain and Behaviour,15,35,33,117,0,40,50,10,3,6,No,31/01/2016,11/02/2019,True
PSY3432,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Moral Mind,15,35,33,117,0,40,60,0,2,6,No,11/02/2016,11/02/2019,True
PSY3434,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,"Mindfulness-based Interventions: Practice, Theoretical Backgrounds and Findings",15,35,33,117,0,40,60,0,2,6,No,02/02/2016,14/03/2019,True
PSY3436,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Neuropsychology of Ageing and Dementia,15,35,33,117,0,40,50,10,3,6,No,24/01/2017,11/02/2019,True
PSY3437,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,The Psychology of Addiction,15,35,33,117,0,40,50,10,3,6,No,23/02/2017,11/02/2019,True
PSY3438,2019/0,psychology,Psychology,Stage Three Modules,15.0,1,Prosociality and Cooperation,15,35,33,117,0,40,60,0,2,6,No,02/04/2019,10/05/2019,True
PSY3439,2019/0,psychology,Psychology,Stage Three Modules,15.0,2,Social Exclusion and Inclusion in Childhood and Adolescence,15,35,33,117,0,40,60,0,2,6,No,29/03/2019,10/05/2019,True
PSY3910,2019/0,psychology,Psychology,Stage Three Modules,5.0,1 and 2,Professional Development Experience,5,30,45,5,0,50,0,50,2,6,No,13/07/2015,16/04/2018,True
PYC3007,2019/0,psychology,Psychology,Stage Three Modules,60.0,"1, 2 and 3",Core Skills for Working with Young People with Mental Health Problems and Their Families,60,5,200,400,0,100,0,0,4,6,No,29/09/2015,29/09/2015,True
PYC3008,2019/0,psychology,Psychology,Stage Three Modules,60.0,"1, 2 and 3",Evidence-based CBT with Children and Young People,60,5,200,400,0,55,0,45,7,6,No,29/09/2015,29/09/2015,True
